funcid,dim,milestone,error
22,10,1,2.802793e+02
22,10,2,1.819916e+02
22,10,3,1.819916e+02
22,10,5,1.819916e+02
22,10,10,1.819916e+02
22,10,20,1.426869e+02
22,10,30,1.426869e+02
22,10,40,1.426869e+02
22,10,50,1.426869e+02
22,10,60,1.426869e+02
22,10,70,1.426869e+02
22,10,80,1.426869e+02
22,10,90,1.426869e+02
22,10,100,1.426869e+02
22,10,1,4.522361e+02
22,10,2,4.522361e+02
22,10,3,4.522361e+02
22,10,5,3.980038e+02
22,10,10,3.669035e+02
22,10,20,1.413892e+02
22,10,30,1.413892e+02
22,10,40,1.346992e+02
22,10,50,1.346992e+02
22,10,60,1.346992e+02
22,10,70,1.346992e+02
22,10,80,1.337226e+02
22,10,90,1.337226e+02
22,10,100,1.317410e+02
22,10,1,2.567593e+02
22,10,2,1.889523e+02
22,10,3,1.839094e+02
22,10,5,1.756055e+02
22,10,10,1.592129e+02
22,10,20,1.590279e+02
22,10,30,1.590279e+02
22,10,40,1.577602e+02
22,10,50,1.560389e+02
22,10,60,1.509226e+02
22,10,70,1.509226e+02
22,10,80,1.509226e+02
22,10,90,1.509226e+02
22,10,100,1.509226e+02
22,10,1,7.314134e+02
22,10,2,3.816072e+02
22,10,3,3.373349e+02
22,10,5,2.153352e+02
22,10,10,1.969430e+02
22,10,20,1.730798e+02
22,10,30,1.730798e+02
22,10,40,1.730798e+02
22,10,50,1.730798e+02
22,10,60,1.730798e+02
22,10,70,1.730798e+02
22,10,80,1.730798e+02
22,10,90,1.730798e+02
22,10,100,1.730798e+02
22,10,1,3.039418e+02
22,10,2,2.201380e+02
22,10,3,1.917118e+02
22,10,5,1.742992e+02
22,10,10,1.501160e+02
22,10,20,1.496565e+02
22,10,30,1.496565e+02
22,10,40,1.431519e+02
22,10,50,1.431519e+02
22,10,60,1.420124e+02
22,10,70,1.417776e+02
22,10,80,1.417776e+02
22,10,90,1.417776e+02
22,10,100,1.417776e+02
22,10,1,4.903142e+02
22,10,2,2.385029e+02
22,10,3,2.385029e+02
22,10,5,2.385029e+02
22,10,10,2.385029e+02
22,10,20,2.385029e+02
22,10,30,2.279846e+02
22,10,40,2.279846e+02
22,10,50,2.279846e+02
22,10,60,2.279846e+02
22,10,70,2.242177e+02
22,10,80,2.242177e+02
22,10,90,2.242177e+02
22,10,100,1.447082e+02
22,10,1,3.556315e+02
22,10,2,2.413023e+02
22,10,3,1.978522e+02
22,10,5,1.978522e+02
22,10,10,1.847600e+02
22,10,20,1.505823e+02
22,10,30,1.505823e+02
22,10,40,1.380674e+02
22,10,50,1.380674e+02
22,10,60,1.380674e+02
22,10,70,1.380674e+02
22,10,80,1.380674e+02
22,10,90,1.380674e+02
22,10,100,1.380674e+02
22,10,1,5.109183e+02
22,10,2,4.274312e+02
22,10,3,2.742342e+02
22,10,5,2.435087e+02
22,10,10,2.433506e+02
22,10,20,1.856475e+02
22,10,30,1.526337e+02
22,10,40,1.525851e+02
22,10,50,1.509230e+02
22,10,60,1.509230e+02
22,10,70,1.509230e+02
22,10,80,1.509230e+02
22,10,90,1.509230e+02
22,10,100,1.509230e+02
22,10,1,3.676611e+02
22,10,2,2.812252e+02
22,10,3,2.812252e+02
22,10,5,2.812252e+02
22,10,10,2.282350e+02
22,10,20,2.282350e+02
22,10,30,2.282350e+02
22,10,40,1.896980e+02
22,10,50,1.896980e+02
22,10,60,1.896980e+02
22,10,70,1.896980e+02
22,10,80,1.896980e+02
22,10,90,1.896980e+02
22,10,100,1.896980e+02
22,10,1,5.827628e+02
22,10,2,5.370436e+02
22,10,3,5.370436e+02
22,10,5,5.153689e+02
22,10,10,3.324930e+02
22,10,20,1.847807e+02
22,10,30,1.759782e+02
22,10,40,1.759782e+02
22,10,50,1.759782e+02
22,10,60,1.759782e+02
22,10,70,1.598753e+02
22,10,80,1.598753e+02
22,10,90,1.598753e+02
22,10,100,1.598753e+02
