funcid,dim,milestone,error
10,10,1,1.928131e+03
10,10,2,1.435355e+03
10,10,3,1.422862e+03
10,10,5,1.422862e+03
10,10,10,1.422862e+03
10,10,20,1.221388e+03
10,10,30,8.004760e+02
10,10,40,7.296081e+02
10,10,50,7.296081e+02
10,10,60,7.068181e+02
10,10,70,7.068181e+02
10,10,80,4.567672e+02
10,10,90,3.479305e+02
10,10,100,3.479305e+02
10,10,1,1.264320e+03
10,10,2,1.213464e+03
10,10,3,1.191831e+03
10,10,5,1.191831e+03
10,10,10,8.605413e+02
10,10,20,8.240787e+02
10,10,30,8.240787e+02
10,10,40,8.240787e+02
10,10,50,8.240787e+02
10,10,60,8.240787e+02
10,10,70,8.240787e+02
10,10,80,8.240787e+02
10,10,90,8.240787e+02
10,10,100,8.240787e+02
10,10,1,1.573383e+03
10,10,2,1.573383e+03
10,10,3,1.315687e+03
10,10,5,1.315687e+03
10,10,10,1.233091e+03
10,10,20,1.233091e+03
10,10,30,1.233091e+03
10,10,40,1.233091e+03
10,10,50,1.233091e+03
10,10,60,1.175570e+03
10,10,70,9.738413e+02
10,10,80,9.738413e+02
10,10,90,9.738413e+02
10,10,100,9.738413e+02
10,10,1,2.002715e+03
10,10,2,2.002715e+03
10,10,3,1.952025e+03
10,10,5,1.952025e+03
10,10,10,1.219954e+03
10,10,20,1.219954e+03
10,10,30,1.211860e+03
10,10,40,1.211860e+03
10,10,50,1.211860e+03
10,10,60,1.211860e+03
10,10,70,1.211860e+03
10,10,80,1.019673e+03
10,10,90,1.019673e+03
10,10,100,1.019673e+03
10,10,1,1.427333e+03
10,10,2,1.427333e+03
10,10,3,1.427333e+03
10,10,5,1.133474e+03
10,10,10,9.741901e+02
10,10,20,9.741901e+02
10,10,30,9.065151e+02
10,10,40,8.792837e+02
10,10,50,8.792837e+02
10,10,60,8.792837e+02
10,10,70,8.792837e+02
10,10,80,8.792837e+02
10,10,90,8.792837e+02
10,10,100,8.256577e+02
10,10,1,1.735012e+03
10,10,2,1.403748e+03
10,10,3,1.394479e+03
10,10,5,1.394479e+03
10,10,10,1.266994e+03
10,10,20,1.215962e+03
10,10,30,1.215962e+03
10,10,40,1.215962e+03
10,10,50,1.215962e+03
10,10,60,1.215962e+03
10,10,70,1.215962e+03
10,10,80,1.215962e+03
10,10,90,1.215962e+03
10,10,100,1.215962e+03
10,10,1,1.499029e+03
10,10,2,1.160962e+03
10,10,3,1.160962e+03
10,10,5,1.160962e+03
10,10,10,9.331860e+02
10,10,20,7.378944e+02
10,10,30,7.378944e+02
10,10,40,7.378944e+02
10,10,50,7.378944e+02
10,10,60,7.378944e+02
10,10,70,5.361730e+02
10,10,80,5.361730e+02
10,10,90,5.361730e+02
10,10,100,5.361730e+02
10,10,1,1.977449e+03
10,10,2,1.648199e+03
10,10,3,1.441951e+03
10,10,5,1.441951e+03
10,10,10,1.320301e+03
10,10,20,1.211060e+03
10,10,30,1.170598e+03
10,10,40,1.170598e+03
10,10,50,7.308310e+02
10,10,60,6.192033e+02
10,10,70,6.192033e+02
10,10,80,6.192033e+02
10,10,90,6.192033e+02
10,10,100,6.192033e+02
10,10,1,1.601017e+03
10,10,2,1.579765e+03
10,10,3,1.453553e+03
10,10,5,1.433219e+03
10,10,10,1.383998e+03
10,10,20,1.198273e+03
10,10,30,1.198273e+03
10,10,40,1.198273e+03
10,10,50,1.198273e+03
10,10,60,1.198273e+03
10,10,70,1.144585e+03
10,10,80,1.031775e+03
10,10,90,1.031775e+03
10,10,100,1.031775e+03
10,10,1,1.430365e+03
10,10,2,1.430365e+03
10,10,3,1.294294e+03
10,10,5,1.294294e+03
10,10,10,1.226478e+03
10,10,20,9.197353e+02
10,10,30,8.090109e+02
10,10,40,6.770897e+02
10,10,50,6.770897e+02
10,10,60,6.770897e+02
10,10,70,6.770897e+02
10,10,80,6.770897e+02
10,10,90,6.770897e+02
10,10,100,6.770897e+02
