funcid,dim,milestone,error
3,10,1,1.702268e+04
3,10,2,1.199612e+04
3,10,3,1.188317e+04
3,10,5,7.739580e+03
3,10,10,6.198697e+03
3,10,20,3.178078e+03
3,10,30,3.178078e+03
3,10,40,3.178078e+03
3,10,50,3.178078e+03
3,10,60,3.178078e+03
3,10,70,3.178078e+03
3,10,80,3.178078e+03
3,10,90,3.178078e+03
3,10,100,3.178078e+03
3,10,1,5.505241e+04
3,10,2,5.355806e+04
3,10,3,1.981648e+04
3,10,5,1.981648e+04
3,10,10,1.257393e+04
3,10,20,3.135675e+03
3,10,30,1.579545e+03
3,10,40,1.471977e+03
3,10,50,1.471977e+03
3,10,60,1.471977e+03
3,10,70,1.471977e+03
3,10,80,1.471977e+03
3,10,90,1.471977e+03
3,10,100,1.471977e+03
3,10,1,1.964908e+04
3,10,2,1.964908e+04
3,10,3,1.964908e+04
3,10,5,9.997853e+03
3,10,10,7.946132e+03
3,10,20,6.529228e+03
3,10,30,6.404110e+03
3,10,40,6.404110e+03
3,10,50,6.404110e+03
3,10,60,6.404110e+03
3,10,70,6.404110e+03
3,10,80,6.404110e+03
3,10,90,6.404110e+03
3,10,100,6.102589e+03
3,10,1,3.682536e+04
3,10,2,8.499703e+03
3,10,3,8.499703e+03
3,10,5,4.641652e+03
3,10,10,4.641652e+03
3,10,20,3.447446e+03
3,10,30,3.023871e+03
3,10,40,3.023871e+03
3,10,50,2.595443e+03
3,10,60,2.595443e+03
3,10,70,2.246832e+03
3,10,80,2.246832e+03
3,10,90,2.246832e+03
3,10,100,2.246832e+03
3,10,1,2.956292e+04
3,10,2,2.796983e+04
3,10,3,2.203387e+04
3,10,5,1.150577e+04
3,10,10,1.078110e+04
3,10,20,5.151535e+03
3,10,30,4.944687e+03
3,10,40,4.944687e+03
3,10,50,4.944687e+03
3,10,60,4.944687e+03
3,10,70,4.944687e+03
3,10,80,4.530066e+03
3,10,90,4.443045e+03
3,10,100,4.443045e+03
3,10,1,3.449428e+04
3,10,2,2.988484e+04
3,10,3,2.988484e+04
3,10,5,2.988484e+04
3,10,10,1.249314e+04
3,10,20,1.184797e+04
3,10,30,8.668743e+03
3,10,40,4.800440e+03
3,10,50,4.800440e+03
3,10,60,4.800440e+03
3,10,70,4.800440e+03
3,10,80,4.800440e+03
3,10,90,4.800440e+03
3,10,100,4.800440e+03
3,10,1,2.852065e+04
3,10,2,1.324957e+04
3,10,3,7.585843e+03
3,10,5,7.215488e+03
3,10,10,4.509265e+03
3,10,20,4.509265e+03
3,10,30,4.509265e+03
3,10,40,4.290363e+03
3,10,50,4.290363e+03
3,10,60,4.290363e+03
3,10,70,4.290363e+03
3,10,80,4.290363e+03
3,10,90,3.259346e+03
3,10,100,3.259346e+03
3,10,1,1.585202e+04
3,10,2,1.585202e+04
3,10,3,8.799489e+03
3,10,5,7.813252e+03
3,10,10,5.738494e+03
3,10,20,2.407488e+03
3,10,30,2.396739e+03
3,10,40,2.396739e+03
3,10,50,2.396739e+03
3,10,60,2.396739e+03
3,10,70,2.396739e+03
3,10,80,2.396739e+03
3,10,90,2.396739e+03
3,10,100,2.396739e+03
3,10,1,2.661123e+04
3,10,2,1.083709e+04
3,10,3,1.083709e+04
3,10,5,7.375351e+03
3,10,10,7.035207e+03
3,10,20,7.035207e+03
3,10,30,7.035207e+03
3,10,40,6.826847e+03
3,10,50,6.826847e+03
3,10,60,6.409352e+03
3,10,70,6.345914e+03
3,10,80,5.948976e+03
3,10,90,5.948976e+03
3,10,100,5.948976e+03
3,10,1,2.623863e+04
3,10,2,2.623863e+04
3,10,3,1.652314e+04
3,10,5,1.652314e+04
3,10,10,1.652314e+04
3,10,20,6.331885e+03
3,10,30,6.231047e+03
3,10,40,6.231047e+03
3,10,50,6.231047e+03
3,10,60,6.231047e+03
3,10,70,6.231047e+03
3,10,80,6.231047e+03
3,10,90,6.231047e+03
3,10,100,6.231047e+03
