funcid,dim,milestone,error
7,10,1,1.148905e+02
7,10,2,1.148905e+02
7,10,3,1.119277e+02
7,10,5,1.119277e+02
7,10,10,1.119277e+02
7,10,20,9.482088e+01
7,10,30,9.482088e+01
7,10,40,9.482088e+01
7,10,50,9.482088e+01
7,10,60,9.482088e+01
7,10,70,9.455159e+01
7,10,80,9.455159e+01
7,10,90,9.455159e+01
7,10,100,9.455159e+01
7,10,1,1.521117e+02
7,10,2,1.235575e+02
7,10,3,1.221339e+02
7,10,5,1.221339e+02
7,10,10,1.144590e+02
7,10,20,1.123675e+02
7,10,30,1.071726e+02
7,10,40,9.555662e+01
7,10,50,9.555662e+01
7,10,60,9.555662e+01
7,10,70,9.555662e+01
7,10,80,9.555662e+01
7,10,90,9.555662e+01
7,10,100,8.911114e+01
7,10,1,1.414225e+02
7,10,2,1.414225e+02
7,10,3,1.154040e+02
7,10,5,1.065022e+02
7,10,10,9.838299e+01
7,10,20,9.838299e+01
7,10,30,9.648617e+01
7,10,40,8.402144e+01
7,10,50,8.402144e+01
7,10,60,7.751066e+01
7,10,70,7.751066e+01
7,10,80,7.751066e+01
7,10,90,7.751066e+01
7,10,100,7.751066e+01
7,10,1,2.457164e+02
7,10,2,1.853127e+02
7,10,3,1.776486e+02
7,10,5,1.473797e+02
7,10,10,1.443809e+02
7,10,20,1.443809e+02
7,10,30,1.318286e+02
7,10,40,1.280067e+02
7,10,50,1.223507e+02
7,10,60,1.223507e+02
7,10,70,1.223507e+02
7,10,80,1.223507e+02
7,10,90,1.223507e+02
7,10,100,1.223507e+02
7,10,1,1.320556e+02
7,10,2,9.485080e+01
7,10,3,9.145304e+01
7,10,5,8.354414e+01
7,10,10,7.687483e+01
7,10,20,7.687483e+01
7,10,30,7.687483e+01
7,10,40,7.687483e+01
7,10,50,7.687483e+01
7,10,60,7.687483e+01
7,10,70,7.687483e+01
7,10,80,7.687483e+01
7,10,90,7.687483e+01
7,10,100,7.687483e+01
7,10,1,2.192923e+02
7,10,2,1.888012e+02
7,10,3,1.888012e+02
7,10,5,1.888012e+02
7,10,10,9.819693e+01
7,10,20,9.819693e+01
7,10,30,9.819693e+01
7,10,40,9.819693e+01
7,10,50,9.819693e+01
7,10,60,9.819693e+01
7,10,70,8.800851e+01
7,10,80,7.053791e+01
7,10,90,5.845248e+01
7,10,100,5.845248e+01
7,10,1,1.751115e+02
7,10,2,1.453216e+02
7,10,3,1.315491e+02
7,10,5,1.208392e+02
7,10,10,1.192347e+02
7,10,20,1.115150e+02
7,10,30,1.003420e+02
7,10,40,1.003420e+02
7,10,50,1.003420e+02
7,10,60,9.070255e+01
7,10,70,9.070255e+01
7,10,80,7.315228e+01
7,10,90,7.315228e+01
7,10,100,7.315228e+01
7,10,1,1.243455e+02
7,10,2,1.243455e+02
7,10,3,1.100227e+02
7,10,5,1.051395e+02
7,10,10,1.051395e+02
7,10,20,1.035368e+02
7,10,30,1.026958e+02
7,10,40,1.026958e+02
7,10,50,1.026958e+02
7,10,60,1.026958e+02
7,10,70,1.026958e+02
7,10,80,1.026958e+02
7,10,90,1.026958e+02
7,10,100,1.026958e+02
7,10,1,1.307445e+02
7,10,2,1.271846e+02
7,10,3,9.363821e+01
7,10,5,9.363821e+01
7,10,10,9.363821e+01
7,10,20,9.363821e+01
7,10,30,9.363821e+01
7,10,40,9.363821e+01
7,10,50,9.363821e+01
7,10,60,9.363821e+01
7,10,70,9.363821e+01
7,10,80,9.363821e+01
7,10,90,9.363821e+01
7,10,100,9.363821e+01
7,10,1,1.623539e+02
7,10,2,1.623539e+02
7,10,3,1.623539e+02
7,10,5,1.623539e+02
7,10,10,1.623539e+02
7,10,20,1.384405e+02
7,10,30,1.316249e+02
7,10,40,1.160321e+02
7,10,50,1.160321e+02
7,10,60,1.160321e+02
7,10,70,1.160321e+02
7,10,80,1.160321e+02
7,10,90,1.160321e+02
7,10,100,1.160321e+02
