funcid,dim,milestone,error
6,10,1,2.422080e+01
6,10,2,1.748299e+01
6,10,3,1.039402e+01
6,10,5,9.586249e+00
6,10,10,9.586249e+00
6,10,20,9.586249e+00
6,10,30,9.586249e+00
6,10,40,9.586249e+00
6,10,50,9.586249e+00
6,10,60,9.586249e+00
6,10,70,9.586249e+00
6,10,80,9.586249e+00
6,10,90,9.586249e+00
6,10,100,9.586249e+00
6,10,1,2.662420e+01
6,10,2,2.365756e+01
6,10,3,1.671550e+01
6,10,5,1.671550e+01
6,10,10,1.400655e+01
6,10,20,1.129261e+01
6,10,30,1.129261e+01
6,10,40,1.129261e+01
6,10,50,1.129261e+01
6,10,60,1.129261e+01
6,10,70,1.129261e+01
6,10,80,1.129261e+01
6,10,90,1.129261e+01
6,10,100,1.129261e+01
6,10,1,4.207064e+01
6,10,2,3.802115e+01
6,10,3,3.206836e+01
6,10,5,2.926260e+01
6,10,10,2.926260e+01
6,10,20,2.926260e+01
6,10,30,2.926260e+01
6,10,40,2.926260e+01
6,10,50,2.926260e+01
6,10,60,2.926260e+01
6,10,70,2.926260e+01
6,10,80,2.712566e+01
6,10,90,2.139622e+01
6,10,100,1.419389e+01
6,10,1,4.312891e+01
6,10,2,3.473928e+01
6,10,3,2.522609e+01
6,10,5,1.715513e+01
6,10,10,1.715513e+01
6,10,20,1.715513e+01
6,10,30,1.555118e+01
6,10,40,1.555118e+01
6,10,50,1.529242e+01
6,10,60,1.529242e+01
6,10,70,1.529242e+01
6,10,80,1.529242e+01
6,10,90,1.529242e+01
6,10,100,1.350676e+01
6,10,1,2.903099e+01
6,10,2,2.026663e+01
6,10,3,2.026663e+01
6,10,5,2.026663e+01
6,10,10,2.026663e+01
6,10,20,2.026663e+01
6,10,30,1.988945e+01
6,10,40,1.988945e+01
6,10,50,1.644966e+01
6,10,60,1.481672e+01
6,10,70,1.481672e+01
6,10,80,1.481672e+01
6,10,90,1.481672e+01
6,10,100,1.481672e+01
6,10,1,3.041501e+01
6,10,2,2.496761e+01
6,10,3,2.496761e+01
6,10,5,2.396053e+01
6,10,10,1.398598e+01
6,10,20,1.356806e+01
6,10,30,1.356806e+01
6,10,40,1.356806e+01
6,10,50,1.356806e+01
6,10,60,1.356806e+01
6,10,70,1.356806e+01
6,10,80,1.356806e+01
6,10,90,1.356806e+01
6,10,100,1.356806e+01
6,10,1,3.905119e+01
6,10,2,2.575062e+01
6,10,3,2.575062e+01
6,10,5,2.575062e+01
6,10,10,2.111627e+01
6,10,20,1.803107e+01
6,10,30,1.803107e+01
6,10,40,1.803107e+01
6,10,50,1.803107e+01
6,10,60,1.803107e+01
6,10,70,1.803107e+01
6,10,80,1.803107e+01
6,10,90,1.803107e+01
6,10,100,1.803107e+01
6,10,1,3.153985e+01
6,10,2,2.657550e+01
6,10,3,2.138613e+01
6,10,5,2.138613e+01
6,10,10,2.138613e+01
6,10,20,2.138613e+01
6,10,30,2.138613e+01
6,10,40,2.138613e+01
6,10,50,2.138613e+01
6,10,60,2.138613e+01
6,10,70,2.138613e+01
6,10,80,2.138613e+01
6,10,90,2.138613e+01
6,10,100,2.138613e+01
6,10,1,2.920527e+01
6,10,2,2.333254e+01
6,10,3,2.040550e+01
6,10,5,1.957685e+01
6,10,10,1.357726e+01
6,10,20,1.261406e+01
6,10,30,1.261406e+01
6,10,40,1.261406e+01
6,10,50,1.261406e+01
6,10,60,1.261406e+01
6,10,70,1.261406e+01
6,10,80,1.261406e+01
6,10,90,1.261406e+01
6,10,100,1.261406e+01
6,10,1,4.395659e+01
6,10,2,3.818129e+01
6,10,3,2.584726e+01
6,10,5,2.584726e+01
6,10,10,1.947773e+01
6,10,20,1.449072e+01
6,10,30,1.449072e+01
6,10,40,1.449072e+01
6,10,50,1.404787e+01
6,10,60,1.385119e+01
6,10,70,1.385119e+01
6,10,80,1.385119e+01
6,10,90,1.246293e+01
6,10,100,1.246293e+01
