funcid,dim,milestone,error
4,10,1,4.798774e+02
4,10,2,3.656726e+02
4,10,3,1.639139e+02
4,10,5,1.378349e+02
4,10,10,1.323588e+02
4,10,20,1.323588e+02
4,10,30,1.323588e+02
4,10,40,1.323588e+02
4,10,50,1.284368e+02
4,10,60,1.284368e+02
4,10,70,1.284368e+02
4,10,80,1.284368e+02
4,10,90,1.284368e+02
4,10,100,1.284368e+02
4,10,1,1.782533e+02
4,10,2,1.782533e+02
4,10,3,1.110331e+02
4,10,5,9.312798e+01
4,10,10,9.312798e+01
4,10,20,4.356775e+01
4,10,30,3.553726e+01
4,10,40,3.553726e+01
4,10,50,3.553726e+01
4,10,60,3.553726e+01
4,10,70,3.553726e+01
4,10,80,3.553726e+01
4,10,90,3.553726e+01
4,10,100,3.553726e+01
4,10,1,7.280710e+01
4,10,2,7.258237e+01
4,10,3,5.777827e+01
4,10,5,3.531963e+01
4,10,10,1.951360e+01
4,10,20,1.951360e+01
4,10,30,1.951360e+01
4,10,40,1.951360e+01
4,10,50,1.951360e+01
4,10,60,1.951360e+01
4,10,70,1.951360e+01
4,10,80,1.773095e+01
4,10,90,1.773095e+01
4,10,100,1.773095e+01
4,10,1,1.877475e+02
4,10,2,9.023759e+01
4,10,3,9.023759e+01
4,10,5,7.170444e+01
4,10,10,5.709972e+01
4,10,20,2.895125e+01
4,10,30,2.553702e+01
4,10,40,2.151679e+01
4,10,50,2.003039e+01
4,10,60,2.003039e+01
4,10,70,2.003039e+01
4,10,80,2.003039e+01
4,10,90,2.003039e+01
4,10,100,2.003039e+01
4,10,1,9.753108e+01
4,10,2,4.635170e+01
4,10,3,4.635170e+01
4,10,5,4.487406e+01
4,10,10,4.335454e+01
4,10,20,3.255928e+01
4,10,30,3.255928e+01
4,10,40,3.255928e+01
4,10,50,3.145758e+01
4,10,60,3.145758e+01
4,10,70,3.145758e+01
4,10,80,3.145758e+01
4,10,90,3.145758e+01
4,10,100,3.145758e+01
4,10,1,1.829680e+02
4,10,2,1.303464e+02
4,10,3,1.303464e+02
4,10,5,1.303464e+02
4,10,10,1.303464e+02
4,10,20,1.049922e+02
4,10,30,1.049922e+02
4,10,40,1.049922e+02
4,10,50,1.049922e+02
4,10,60,1.049922e+02
4,10,70,8.440840e+01
4,10,80,8.440840e+01
4,10,90,8.440840e+01
4,10,100,8.440840e+01
4,10,1,5.651309e+01
4,10,2,5.651309e+01
4,10,3,3.685795e+01
4,10,5,2.634011e+01
4,10,10,2.634011e+01
4,10,20,2.634011e+01
4,10,30,2.634011e+01
4,10,40,2.634011e+01
4,10,50,2.634011e+01
4,10,60,2.634011e+01
4,10,70,2.634011e+01
4,10,80,2.634011e+01
4,10,90,2.634011e+01
4,10,100,2.634011e+01
4,10,1,3.385977e+02
4,10,2,2.461696e+02
4,10,3,1.682876e+02
4,10,5,1.562743e+02
4,10,10,1.405832e+02
4,10,20,1.405832e+02
4,10,30,1.405832e+02
4,10,40,1.405832e+02
4,10,50,1.405832e+02
4,10,60,1.246121e+02
4,10,70,1.246121e+02
4,10,80,7.929878e+01
4,10,90,7.928413e+01
4,10,100,7.928413e+01
4,10,1,1.312781e+02
4,10,2,1.007555e+02
4,10,3,1.007555e+02
4,10,5,9.838602e+01
4,10,10,8.545542e+01
4,10,20,4.702488e+01
4,10,30,4.702488e+01
4,10,40,4.250303e+01
4,10,50,4.250303e+01
4,10,60,4.233146e+01
4,10,70,4.233146e+01
4,10,80,4.233146e+01
4,10,90,4.233146e+01
4,10,100,2.824018e+01
4,10,1,1.194452e+02
4,10,2,1.194452e+02
4,10,3,5.641521e+01
4,10,5,5.641521e+01
4,10,10,5.641521e+01
4,10,20,5.247858e+01
4,10,30,5.247858e+01
4,10,40,4.836206e+01
4,10,50,4.836206e+01
4,10,60,4.836206e+01
4,10,70,4.836206e+01
4,10,80,3.281262e+01
4,10,90,3.281262e+01
4,10,100,2.999386e+01
