funcid,dim,milestone,error
21,10,1,2.569806e+02
21,10,2,2.507885e+02
21,10,3,2.485413e+02
21,10,5,2.485413e+02
21,10,10,2.485413e+02
21,10,20,2.485139e+02
21,10,30,2.485139e+02
21,10,40,2.464502e+02
21,10,50,2.464502e+02
21,10,60,2.464502e+02
21,10,70,2.464502e+02
21,10,80,2.304156e+02
21,10,90,2.277354e+02
21,10,100,2.277354e+02
21,10,1,2.776108e+02
21,10,2,2.776108e+02
21,10,3,2.776108e+02
21,10,5,2.776108e+02
21,10,10,2.526094e+02
21,10,20,2.510093e+02
21,10,30,2.510093e+02
21,10,40,2.510093e+02
21,10,50,2.510093e+02
21,10,60,2.510093e+02
21,10,70,2.510093e+02
21,10,80,2.510093e+02
21,10,90,2.510093e+02
21,10,100,2.504647e+02
21,10,1,2.666335e+02
21,10,2,2.666335e+02
21,10,3,2.584669e+02
21,10,5,2.584669e+02
21,10,10,2.584669e+02
21,10,20,2.584669e+02
21,10,30,2.584669e+02
21,10,40,2.426753e+02
21,10,50,2.426753e+02
21,10,60,2.426753e+02
21,10,70,2.426753e+02
21,10,80,2.426753e+02
21,10,90,2.426753e+02
21,10,100,2.426753e+02
21,10,1,2.875035e+02
21,10,2,2.718562e+02
21,10,3,2.718562e+02
21,10,5,2.699733e+02
21,10,10,2.360460e+02
21,10,20,2.360460e+02
21,10,30,2.360460e+02
21,10,40,2.360460e+02
21,10,50,2.360460e+02
21,10,60,2.360460e+02
21,10,70,2.360460e+02
21,10,80,2.360460e+02
21,10,90,2.360460e+02
21,10,100,2.360460e+02
21,10,1,2.910896e+02
21,10,2,2.752141e+02
21,10,3,2.746730e+02
21,10,5,2.746730e+02
21,10,10,2.521082e+02
21,10,20,2.521082e+02
21,10,30,2.521082e+02
21,10,40,2.479656e+02
21,10,50,2.479656e+02
21,10,60,2.477413e+02
21,10,70,2.452462e+02
21,10,80,2.448289e+02
21,10,90,2.448289e+02
21,10,100,2.408857e+02
21,10,1,2.711663e+02
21,10,2,2.711663e+02
21,10,3,2.711663e+02
21,10,5,2.711663e+02
21,10,10,2.711663e+02
21,10,20,2.705123e+02
21,10,30,2.705123e+02
21,10,40,2.395482e+02
21,10,50,2.279630e+02
21,10,60,2.215593e+02
21,10,70,2.215593e+02
21,10,80,2.212089e+02
21,10,90,2.212089e+02
21,10,100,2.206845e+02
21,10,1,2.636941e+02
21,10,2,2.636941e+02
21,10,3,2.636941e+02
21,10,5,2.602987e+02
21,10,10,2.499007e+02
21,10,20,2.499007e+02
21,10,30,2.498313e+02
21,10,40,2.498313e+02
21,10,50,2.498313e+02
21,10,60,2.482420e+02
21,10,70,2.367329e+02
21,10,80,2.367329e+02
21,10,90,2.367329e+02
21,10,100,2.367329e+02
21,10,1,2.831603e+02
21,10,2,2.758743e+02
21,10,3,2.758743e+02
21,10,5,1.481821e+02
21,10,10,1.100035e+02
21,10,20,1.083550e+02
21,10,30,1.065336e+02
21,10,40,1.065336e+02
21,10,50,1.065336e+02
21,10,60,1.065336e+02
21,10,70,1.065336e+02
21,10,80,1.065336e+02
21,10,90,1.065336e+02
21,10,100,1.065336e+02
21,10,1,2.526383e+02
21,10,2,2.526383e+02
21,10,3,2.523484e+02
21,10,5,2.501357e+02
21,10,10,2.488839e+02
21,10,20,2.433043e+02
21,10,30,2.433043e+02
21,10,40,2.433043e+02
21,10,50,2.433043e+02
21,10,60,2.425282e+02
21,10,70,2.425282e+02
21,10,80,2.405989e+02
21,10,90,2.405989e+02
21,10,100,2.405989e+02
21,10,1,2.991839e+02
21,10,2,2.748372e+02
21,10,3,2.748372e+02
21,10,5,2.530849e+02
21,10,10,2.530849e+02
21,10,20,1.614332e+02
21,10,30,1.351029e+02
21,10,40,1.344325e+02
21,10,50,1.165644e+02
21,10,60,1.154195e+02
21,10,70,1.134049e+02
21,10,80,1.134049e+02
21,10,90,1.112862e+02
21,10,100,1.112862e+02
