funcid,dim,milestone,error
19,10,1,3.320181e+05
19,10,2,3.320150e+05
19,10,3,3.320129e+05
19,10,5,3.320116e+05
19,10,10,3.320116e+05
19,10,20,3.320110e+05
19,10,30,3.320110e+05
19,10,40,3.320110e+05
19,10,50,3.320110e+05
19,10,60,3.320110e+05
19,10,70,3.320110e+05
19,10,80,3.320110e+05
19,10,90,3.320110e+05
19,10,100,3.320110e+05
19,10,1,7.130880e+05
19,10,2,7.130880e+05
19,10,3,7.130868e+05
19,10,5,7.130868e+05
19,10,10,7.130868e+05
19,10,20,7.130868e+05
19,10,30,7.130868e+05
19,10,40,7.130868e+05
19,10,50,7.130868e+05
19,10,60,7.130868e+05
19,10,70,7.130866e+05
19,10,80,7.130865e+05
19,10,90,7.130865e+05
19,10,100,7.130865e+05
19,10,1,1.008272e+07
19,10,2,4.299244e+05
19,10,3,4.299241e+05
19,10,5,4.299230e+05
19,10,10,4.299208e+05
19,10,20,4.299207e+05
19,10,30,4.299207e+05
19,10,40,4.299207e+05
19,10,50,4.299207e+05
19,10,60,4.299207e+05
19,10,70,4.299207e+05
19,10,80,4.299207e+05
19,10,90,4.299207e+05
19,10,100,4.299207e+05
19,10,1,5.446690e+05
19,10,2,5.446654e+05
19,10,3,5.446652e+05
19,10,5,5.446650e+05
19,10,10,5.446643e+05
19,10,20,5.446641e+05
19,10,30,5.446640e+05
19,10,40,5.446640e+05
19,10,50,5.446640e+05
19,10,60,5.446640e+05
19,10,70,5.446640e+05
19,10,80,5.446640e+05
19,10,90,5.446640e+05
19,10,100,5.446640e+05
19,10,1,3.967293e+05
19,10,2,3.967252e+05
19,10,3,3.967252e+05
19,10,5,3.967252e+05
19,10,10,3.967249e+05
19,10,20,3.967249e+05
19,10,30,3.967249e+05
19,10,40,3.967249e+05
19,10,50,3.967249e+05
19,10,60,3.967249e+05
19,10,70,3.967245e+05
19,10,80,3.967245e+05
19,10,90,3.967245e+05
19,10,100,3.967245e+05
19,10,1,5.056126e+05
19,10,2,2.340297e+04
19,10,3,2.340204e+04
19,10,5,2.340075e+04
19,10,10,2.339246e+04
19,10,20,2.339246e+04
19,10,30,2.339141e+04
19,10,40,2.339141e+04
19,10,50,2.339141e+04
19,10,60,2.339141e+04
19,10,70,2.339141e+04
19,10,80,2.339141e+04
19,10,90,2.339141e+04
19,10,100,2.339141e+04
19,10,1,3.244924e+06
19,10,2,3.244903e+06
19,10,3,3.244902e+06
19,10,5,3.244896e+06
19,10,10,3.244896e+06
19,10,20,3.244896e+06
19,10,30,3.244896e+06
19,10,40,3.244896e+06
19,10,50,3.244896e+06
19,10,60,3.244896e+06
19,10,70,3.244896e+06
19,10,80,3.244896e+06
19,10,90,3.244896e+06
19,10,100,3.244896e+06
19,10,1,8.722913e+06
19,10,2,8.722908e+06
19,10,3,8.722897e+06
19,10,5,8.722897e+06
19,10,10,8.722897e+06
19,10,20,8.722897e+06
19,10,30,8.722897e+06
19,10,40,8.722897e+06
19,10,50,8.722897e+06
19,10,60,8.722897e+06
19,10,70,8.722897e+06
19,10,80,8.722897e+06
19,10,90,8.722897e+06
19,10,100,8.722897e+06
19,10,1,5.945704e+03
19,10,2,5.944824e+03
19,10,3,5.944639e+03
19,10,5,5.944639e+03
19,10,10,5.944639e+03
19,10,20,5.943946e+03
19,10,30,5.943946e+03
19,10,40,5.943946e+03
19,10,50,5.943946e+03
19,10,60,5.943946e+03
19,10,70,5.943946e+03
19,10,80,5.943946e+03
19,10,90,5.943946e+03
19,10,100,5.943946e+03
19,10,1,2.576988e+06
19,10,2,2.576974e+06
19,10,3,2.576974e+06
19,10,5,2.576972e+06
19,10,10,2.576971e+06
19,10,20,2.576971e+06
19,10,30,2.576971e+06
19,10,40,2.576971e+06
19,10,50,2.576970e+06
19,10,60,2.576970e+06
19,10,70,2.576970e+06
19,10,80,2.576970e+06
19,10,90,2.576970e+06
19,10,100,2.576970e+06
