funcid,dim,milestone,error
1,10,1,2.123886e+09
1,10,2,1.461246e+09
1,10,3,1.461246e+09
1,10,5,1.223256e+09
1,10,10,1.223256e+09
1,10,20,3.575202e+08
1,10,30,2.904788e+08
1,10,40,2.904788e+08
1,10,50,2.904788e+08
1,10,60,2.885387e+08
1,10,70,2.881708e+08
1,10,80,2.881708e+08
1,10,90,2.881708e+08
1,10,100,2.881708e+08
1,10,1,2.294603e+09
1,10,2,1.975432e+09
1,10,3,1.975432e+09
1,10,5,6.665603e+08
1,10,10,6.665603e+08
1,10,20,6.528390e+08
1,10,30,6.045857e+08
1,10,40,6.045857e+08
1,10,50,5.918399e+08
1,10,60,5.918399e+08
1,10,70,5.918399e+08
1,10,80,5.918399e+08
1,10,90,5.918399e+08
1,10,100,5.918399e+08
1,10,1,4.334742e+09
1,10,2,1.623480e+09
1,10,3,1.562789e+09
1,10,5,1.417119e+09
1,10,10,1.128448e+09
1,10,20,8.430495e+08
1,10,30,7.754095e+08
1,10,40,7.754095e+08
1,10,50,7.754095e+08
1,10,60,7.754095e+08
1,10,70,7.754095e+08
1,10,80,7.754095e+08
1,10,90,7.754095e+08
1,10,100,7.754095e+08
1,10,1,1.658240e+09
1,10,2,1.372732e+09
1,10,3,6.680759e+08
1,10,5,5.337886e+08
1,10,10,4.516536e+08
1,10,20,4.516536e+08
1,10,30,3.824458e+08
1,10,40,3.824458e+08
1,10,50,3.824458e+08
1,10,60,3.824458e+08
1,10,70,3.767921e+08
1,10,80,3.767921e+08
1,10,90,3.767921e+08
1,10,100,3.767921e+08
1,10,1,1.225069e+09
1,10,2,1.225069e+09
1,10,3,9.837988e+08
1,10,5,9.691325e+08
1,10,10,9.691325e+08
1,10,20,4.252427e+08
1,10,30,3.365168e+08
1,10,40,2.594406e+08
1,10,50,2.594406e+08
1,10,60,2.594406e+08
1,10,70,2.594406e+08
1,10,80,2.594406e+08
1,10,90,2.594406e+08
1,10,100,2.594406e+08
1,10,1,2.052419e+09
1,10,2,2.052419e+09
1,10,3,2.052419e+09
1,10,5,1.764559e+09
1,10,10,1.378132e+09
1,10,20,7.225438e+08
1,10,30,6.981636e+08
1,10,40,6.735490e+08
1,10,50,6.735490e+08
1,10,60,6.735490e+08
1,10,70,6.735490e+08
1,10,80,6.735490e+08
1,10,90,6.735490e+08
1,10,100,6.735490e+08
1,10,1,3.251904e+09
1,10,2,7.115163e+08
1,10,3,5.868666e+08
1,10,5,5.530563e+08
1,10,10,5.009600e+08
1,10,20,5.009600e+08
1,10,30,5.009600e+08
1,10,40,5.009600e+08
1,10,50,5.009600e+08
1,10,60,5.009600e+08
1,10,70,5.009600e+08
1,10,80,5.009600e+08
1,10,90,5.009600e+08
1,10,100,5.009600e+08
1,10,1,1.598405e+09
1,10,2,1.598405e+09
1,10,3,1.598405e+09
1,10,5,9.870245e+08
1,10,10,9.740549e+08
1,10,20,9.740549e+08
1,10,30,8.697645e+08
1,10,40,8.697645e+08
1,10,50,8.697645e+08
1,10,60,8.697645e+08
1,10,70,8.697645e+08
1,10,80,8.697645e+08
1,10,90,8.697645e+08
1,10,100,8.697645e+08
1,10,1,1.508263e+09
1,10,2,1.050144e+09
1,10,3,1.003696e+09
1,10,5,1.003696e+09
1,10,10,1.003696e+09
1,10,20,1.003696e+09
1,10,30,1.003696e+09
1,10,40,1.003696e+09
1,10,50,1.003696e+09
1,10,60,1.003696e+09
1,10,70,6.866919e+08
1,10,80,6.866919e+08
1,10,90,6.866919e+08
1,10,100,6.866919e+08
1,10,1,2.787262e+09
1,10,2,1.484672e+09
1,10,3,1.401393e+09
1,10,5,1.387405e+09
1,10,10,1.373739e+09
1,10,20,1.373739e+09
1,10,30,6.049228e+08
1,10,40,6.049228e+08
1,10,50,6.049228e+08
1,10,60,6.036599e+08
1,10,70,6.036599e+08
1,10,80,6.036599e+08
1,10,90,6.036599e+08
1,10,100,6.036599e+08
