funcid,dim,milestone,error
13,10,1,1.211130e+06
13,10,2,1.211014e+06
13,10,3,1.211011e+06
13,10,5,1.210983e+06
13,10,10,1.210975e+06
13,10,20,1.210973e+06
13,10,30,1.210973e+06
13,10,40,1.210973e+06
13,10,50,1.210973e+06
13,10,60,1.210970e+06
13,10,70,1.210970e+06
13,10,80,1.210964e+06
13,10,90,1.210964e+06
13,10,100,1.210964e+06
13,10,1,4.265019e+06
13,10,2,4.265013e+06
13,10,3,4.265013e+06
13,10,5,4.264993e+06
13,10,10,4.264972e+06
13,10,20,4.264972e+06
13,10,30,4.264972e+06
13,10,40,4.264972e+06
13,10,50,4.264972e+06
13,10,60,4.264972e+06
13,10,70,4.264972e+06
13,10,80,4.264972e+06
13,10,90,4.264972e+06
13,10,100,4.264972e+06
13,10,1,1.054827e+08
13,10,2,1.054827e+08
13,10,3,1.054827e+08
13,10,5,1.054827e+08
13,10,10,1.054826e+08
13,10,20,1.054826e+08
13,10,30,1.054826e+08
13,10,40,1.054826e+08
13,10,50,1.054826e+08
13,10,60,1.054826e+08
13,10,70,1.054826e+08
13,10,80,1.054826e+08
13,10,90,1.054826e+08
13,10,100,1.054826e+08
13,10,1,4.008118e+06
13,10,2,4.008118e+06
13,10,3,4.008118e+06
13,10,5,4.008080e+06
13,10,10,4.008080e+06
13,10,20,4.008076e+06
13,10,30,4.008076e+06
13,10,40,4.008076e+06
13,10,50,4.008076e+06
13,10,60,4.008076e+06
13,10,70,4.008076e+06
13,10,80,4.008076e+06
13,10,90,4.008076e+06
13,10,100,4.008076e+06
13,10,1,2.760366e+07
13,10,2,2.760366e+07
13,10,3,2.760363e+07
13,10,5,2.760363e+07
13,10,10,2.760359e+07
13,10,20,2.760359e+07
13,10,30,2.760359e+07
13,10,40,2.760359e+07
13,10,50,2.760359e+07
13,10,60,2.760358e+07
13,10,70,2.760358e+07
13,10,80,2.760358e+07
13,10,90,2.760358e+07
13,10,100,2.760358e+07
13,10,1,4.145802e+07
13,10,2,4.145799e+07
13,10,3,4.145799e+07
13,10,5,9.835094e+06
13,10,10,9.835080e+06
13,10,20,9.835069e+06
13,10,30,9.835062e+06
13,10,40,9.835062e+06
13,10,50,9.835058e+06
13,10,60,9.835058e+06
13,10,70,9.835058e+06
13,10,80,9.835058e+06
13,10,90,9.835058e+06
13,10,100,9.835049e+06
13,10,1,4.079035e+07
13,10,2,4.065151e+07
13,10,3,4.065147e+07
13,10,5,4.065143e+07
13,10,10,4.065143e+07
13,10,20,1.442657e+06
13,10,30,1.442608e+06
13,10,40,1.442595e+06
13,10,50,1.442595e+06
13,10,60,1.442581e+06
13,10,70,1.442565e+06
13,10,80,1.442565e+06
13,10,90,1.442564e+06
13,10,100,1.442564e+06
13,10,1,2.257324e+07
13,10,2,2.866948e+06
13,10,3,2.685932e+06
13,10,5,2.685922e+06
13,10,10,2.685922e+06
13,10,20,2.685922e+06
13,10,30,2.685922e+06
13,10,40,2.685922e+06
13,10,50,2.685922e+06
13,10,60,2.685922e+06
13,10,70,2.685922e+06
13,10,80,2.685922e+06
13,10,90,2.685922e+06
13,10,100,2.685922e+06
13,10,1,4.245141e+07
13,10,2,2.327468e+07
13,10,3,6.724326e+06
13,10,5,6.724311e+06
13,10,10,6.724311e+06
13,10,20,6.724311e+06
13,10,30,6.724311e+06
13,10,40,6.724304e+06
13,10,50,6.724304e+06
13,10,60,6.724304e+06
13,10,70,6.724304e+06
13,10,80,6.724304e+06
13,10,90,6.724304e+06
13,10,100,6.724304e+06
13,10,1,1.135140e+07
13,10,2,1.135132e+07
13,10,3,1.135132e+07
13,10,5,1.135132e+07
13,10,10,1.135132e+07
13,10,20,1.135132e+07
13,10,30,1.135130e+07
13,10,40,1.135129e+07
13,10,50,1.135129e+07
13,10,60,1.135129e+07
13,10,70,1.135129e+07
13,10,80,1.135129e+07
13,10,90,1.135129e+07
13,10,100,1.135129e+07
