funcid,dim,milestone,error
12,10,1,3.565671e+08
12,10,2,3.390500e+08
12,10,3,8.981748e+07
12,10,5,5.848576e+07
12,10,10,3.425403e+07
12,10,20,2.294164e+07
12,10,30,2.254015e+07
12,10,40,2.254013e+07
12,10,50,2.254013e+07
12,10,60,2.254001e+07
12,10,70,2.254001e+07
12,10,80,2.253987e+07
12,10,90,2.253985e+07
12,10,100,2.253985e+07
12,10,1,2.570724e+07
12,10,2,2.455433e+07
12,10,3,1.925084e+07
12,10,5,1.925084e+07
12,10,10,1.220462e+07
12,10,20,1.220446e+07
12,10,30,1.220444e+07
12,10,40,1.220444e+07
12,10,50,1.220444e+07
12,10,60,1.220444e+07
12,10,70,1.220444e+07
12,10,80,1.220444e+07
12,10,90,1.220444e+07
12,10,100,1.220444e+07
12,10,1,1.106532e+08
12,10,2,5.937145e+07
12,10,3,5.937136e+07
12,10,5,5.937097e+07
12,10,10,5.937097e+07
12,10,20,1.769949e+07
12,10,30,1.769949e+07
12,10,40,1.769949e+07
12,10,50,1.769949e+07
12,10,60,1.769949e+07
12,10,70,1.769949e+07
12,10,80,1.769949e+07
12,10,90,1.769944e+07
12,10,100,1.769944e+07
12,10,1,1.418704e+07
12,10,2,1.203421e+07
12,10,3,1.203384e+07
12,10,5,1.203384e+07
12,10,10,9.818373e+06
12,10,20,9.818349e+06
12,10,30,9.818349e+06
12,10,40,9.818349e+06
12,10,50,9.818349e+06
12,10,60,9.818349e+06
12,10,70,9.818226e+06
12,10,80,9.818076e+06
12,10,90,9.818076e+06
12,10,100,9.818076e+06
12,10,1,6.515822e+07
12,10,2,6.515793e+07
12,10,3,6.515787e+07
12,10,5,4.987163e+07
12,10,10,4.193896e+07
12,10,20,4.193879e+07
12,10,30,2.530817e+07
12,10,40,2.530817e+07
12,10,50,2.530807e+07
12,10,60,2.530807e+07
12,10,70,2.530807e+07
12,10,80,2.530807e+07
12,10,90,2.530807e+07
12,10,100,2.530807e+07
12,10,1,7.239010e+07
12,10,2,6.762148e+07
12,10,3,6.503048e+07
12,10,5,6.314289e+07
12,10,10,6.314281e+07
12,10,20,6.314260e+07
12,10,30,6.314260e+07
12,10,40,2.493064e+07
12,10,50,2.057597e+07
12,10,60,2.057597e+07
12,10,70,2.057597e+07
12,10,80,2.057575e+07
12,10,90,2.057575e+07
12,10,100,2.057575e+07
12,10,1,1.978407e+07
12,10,2,1.894063e+07
12,10,3,1.894010e+07
12,10,5,1.894010e+07
12,10,10,1.894010e+07
12,10,20,1.894010e+07
12,10,30,1.894010e+07
12,10,40,1.894005e+07
12,10,50,1.894001e+07
12,10,60,1.894001e+07
12,10,70,1.893998e+07
12,10,80,1.893998e+07
12,10,90,1.893998e+07
12,10,100,1.893998e+07
12,10,1,3.053953e+08
12,10,2,1.012664e+08
12,10,3,9.446167e+07
12,10,5,9.446155e+07
12,10,10,8.349267e+07
12,10,20,8.349249e+07
12,10,30,8.324170e+07
12,10,40,8.324147e+07
12,10,50,8.324147e+07
12,10,60,8.324147e+07
12,10,70,8.324147e+07
12,10,80,8.324147e+07
12,10,90,8.324147e+07
12,10,100,8.324147e+07
12,10,1,1.807127e+08
12,10,2,1.474729e+08
12,10,3,1.347308e+08
12,10,5,1.347306e+08
12,10,10,1.331942e+08
12,10,20,1.331942e+08
12,10,30,3.194625e+07
12,10,40,3.194625e+07
12,10,50,3.194625e+07
12,10,60,3.194625e+07
12,10,70,3.194625e+07
12,10,80,3.194625e+07
12,10,90,3.194625e+07
12,10,100,3.194625e+07
12,10,1,1.487353e+08
12,10,2,1.359606e+08
12,10,3,6.382475e+07
12,10,5,4.590877e+07
12,10,10,4.590849e+07
12,10,20,4.590849e+07
12,10,30,4.590849e+07
12,10,40,4.590849e+07
12,10,50,4.590849e+07
12,10,60,4.590849e+07
12,10,70,4.590849e+07
12,10,80,4.590849e+07
12,10,90,4.590849e+07
12,10,100,4.590849e+07
