funcid,dim,milestone,error
17,30,1,1.288748e+03
17,30,2,1.120827e+03
17,30,3,1.109895e+03
17,30,5,8.028283e+02
17,30,10,7.850172e+02
17,30,20,7.449516e+02
17,30,30,7.395447e+02
17,30,40,7.395447e+02
17,30,50,7.395265e+02
17,30,60,7.391007e+02
17,30,70,7.391007e+02
17,30,80,7.391007e+02
17,30,90,7.391007e+02
17,30,100,7.391007e+02
17,30,1,4.349409e+02
17,30,2,4.327106e+02
17,30,3,4.295300e+02
17,30,5,4.279192e+02
17,30,10,3.978260e+02
17,30,20,3.893061e+02
17,30,30,3.843878e+02
17,30,40,3.843878e+02
17,30,50,3.843878e+02
17,30,60,3.823115e+02
17,30,70,3.823115e+02
17,30,80,3.821803e+02
17,30,90,3.814700e+02
17,30,100,3.814700e+02
17,30,1,9.895918e+02
17,30,2,9.888023e+02
17,30,3,7.630727e+02
17,30,5,5.249791e+02
17,30,10,5.201272e+02
17,30,20,5.177159e+02
17,30,30,5.031534e+02
17,30,40,4.994121e+02
17,30,50,4.915255e+02
17,30,60,4.876644e+02
17,30,70,4.875238e+02
17,30,80,4.875238e+02
17,30,90,4.845578e+02
17,30,100,4.844736e+02
17,30,1,1.419522e+03
17,30,2,9.432380e+02
17,30,3,9.432380e+02
17,30,5,9.348554e+02
17,30,10,9.194370e+02
17,30,20,9.117309e+02
17,30,30,9.105116e+02
17,30,40,3.195413e+02
17,30,50,2.950089e+02
17,30,60,2.897470e+02
17,30,70,2.895678e+02
17,30,80,2.895678e+02
17,30,90,2.894043e+02
17,30,100,2.894043e+02
17,30,1,9.077259e+02
17,30,2,8.983867e+02
17,30,3,8.982856e+02
17,30,5,8.982856e+02
17,30,10,8.887536e+02
17,30,20,8.675838e+02
17,30,30,8.573085e+02
17,30,40,8.573085e+02
17,30,50,8.573085e+02
17,30,60,8.540040e+02
17,30,70,7.429387e+02
17,30,80,7.414225e+02
17,30,90,7.408854e+02
17,30,100,7.408854e+02
17,30,1,1.182725e+03
17,30,2,1.003553e+03
17,30,3,1.000374e+03
17,30,5,9.828109e+02
17,30,10,8.062975e+02
17,30,20,3.928395e+02
17,30,30,3.861722e+02
17,30,40,3.861696e+02
17,30,50,3.851784e+02
17,30,60,3.795682e+02
17,30,70,3.794654e+02
17,30,80,3.775290e+02
17,30,90,3.772062e+02
17,30,100,3.772062e+02
17,30,1,1.177921e+03
17,30,2,7.313662e+02
17,30,3,7.295159e+02
17,30,5,7.247935e+02
17,30,10,7.128036e+02
17,30,20,7.126774e+02
17,30,30,7.126774e+02
17,30,40,7.123891e+02
17,30,50,7.123891e+02
17,30,60,7.123891e+02
17,30,70,7.123891e+02
17,30,80,7.123891e+02
17,30,90,7.123891e+02
17,30,100,6.992487e+02
17,30,1,8.787975e+02
17,30,2,7.535439e+02
17,30,3,7.439943e+02
17,30,5,7.216557e+02
17,30,10,7.135132e+02
17,30,20,7.133132e+02
17,30,30,7.105353e+02
17,30,40,7.104738e+02
17,30,50,7.104257e+02
17,30,60,7.104257e+02
17,30,70,7.102709e+02
17,30,80,7.102505e+02
17,30,90,7.102505e+02
17,30,100,7.102505e+02
17,30,1,1.111732e+03
17,30,2,9.988430e+02
17,30,3,9.842993e+02
17,30,5,9.435455e+02
17,30,10,7.163734e+02
17,30,20,6.840871e+02
17,30,30,6.840871e+02
17,30,40,6.839859e+02
17,30,50,6.839859e+02
17,30,60,6.839859e+02
17,30,70,6.836809e+02
17,30,80,6.836809e+02
17,30,90,6.836809e+02
17,30,100,6.762253e+02
17,30,1,8.287422e+02
17,30,2,8.051313e+02
17,30,3,7.957016e+02
17,30,5,7.905816e+02
17,30,10,7.821381e+02
17,30,20,7.751167e+02
17,30,30,7.427421e+02
17,30,40,7.427421e+02
17,30,50,7.426240e+02
17,30,60,7.417015e+02
17,30,70,7.412101e+02
17,30,80,7.412101e+02
17,30,90,7.412101e+02
17,30,100,7.412101e+02
