funcid,dim,milestone,error
26,30,1,4.322695e+03
26,30,2,4.133923e+03
26,30,3,4.078291e+03
26,30,5,3.858494e+03
26,30,10,3.264371e+03
26,30,20,3.264371e+03
26,30,30,3.133027e+03
26,30,40,3.133027e+03
26,30,50,2.990068e+03
26,30,60,2.990068e+03
26,30,70,2.990068e+03
26,30,80,2.990068e+03
26,30,90,2.990068e+03
26,30,100,2.990068e+03
26,30,1,3.596705e+03
26,30,2,3.062789e+03
26,30,3,2.474207e+03
26,30,5,2.323916e+03
26,30,10,1.872105e+03
26,30,20,1.552740e+03
26,30,30,1.493491e+03
26,30,40,1.430376e+03
26,30,50,1.356511e+03
26,30,60,1.349204e+03
26,30,70,1.335631e+03
26,30,80,1.331946e+03
26,30,90,1.331946e+03
26,30,100,1.149153e+03
26,30,1,3.860428e+03
26,30,2,3.812134e+03
26,30,3,3.356224e+03
26,30,5,3.193848e+03
26,30,10,2.771633e+03
26,30,20,2.693221e+03
26,30,30,2.693221e+03
26,30,40,2.693221e+03
26,30,50,2.693221e+03
26,30,60,2.693221e+03
26,30,70,2.693221e+03
26,30,80,2.693221e+03
26,30,90,2.693221e+03
26,30,100,2.693221e+03
26,30,1,4.969520e+03
26,30,2,3.789872e+03
26,30,3,3.450236e+03
26,30,5,3.450236e+03
26,30,10,3.393875e+03
26,30,20,3.294482e+03
26,30,30,3.294482e+03
26,30,40,3.294482e+03
26,30,50,3.294482e+03
26,30,60,3.294482e+03
26,30,70,3.294482e+03
26,30,80,3.066017e+03
26,30,90,3.066017e+03
26,30,100,2.981728e+03
26,30,1,4.802171e+03
26,30,2,4.605554e+03
26,30,3,4.219426e+03
26,30,5,3.918651e+03
26,30,10,3.812853e+03
26,30,20,3.658510e+03
26,30,30,3.658510e+03
26,30,40,3.641405e+03
26,30,50,3.635961e+03
26,30,60,3.635961e+03
26,30,70,3.635961e+03
26,30,80,3.635961e+03
26,30,90,3.624659e+03
26,30,100,3.555241e+03
26,30,1,4.490084e+03
26,30,2,4.473921e+03
26,30,3,4.402051e+03
26,30,5,4.192849e+03
26,30,10,3.136749e+03
26,30,20,3.133540e+03
26,30,30,3.133540e+03
26,30,40,3.113314e+03
26,30,50,3.110498e+03
26,30,60,3.110498e+03
26,30,70,3.110498e+03
26,30,80,3.110498e+03
26,30,90,3.110498e+03
26,30,100,3.110498e+03
26,30,1,3.128973e+03
26,30,2,2.762245e+03
26,30,3,2.713527e+03
26,30,5,1.940958e+03
26,30,10,1.526905e+03
26,30,20,1.317753e+03
26,30,30,1.282928e+03
26,30,40,1.236609e+03
26,30,50,9.203346e+02
26,30,60,8.975789e+02
26,30,70,8.975789e+02
26,30,80,8.975789e+02
26,30,90,8.975789e+02
26,30,100,8.904239e+02
26,30,1,3.764449e+03
26,30,2,3.468508e+03
26,30,3,3.341189e+03
26,30,5,3.178432e+03
26,30,10,3.039862e+03
26,30,20,2.900552e+03
26,30,30,2.900552e+03
26,30,40,2.900552e+03
26,30,50,2.900552e+03
26,30,60,2.900552e+03
26,30,70,2.900552e+03
26,30,80,2.900552e+03
26,30,90,2.900552e+03
26,30,100,2.900552e+03
26,30,1,4.487222e+03
26,30,2,4.392901e+03
26,30,3,4.247932e+03
26,30,5,4.152866e+03
26,30,10,4.152866e+03
26,30,20,4.152866e+03
26,30,30,4.138983e+03
26,30,40,3.776099e+03
26,30,50,3.776099e+03
26,30,60,3.776099e+03
26,30,70,3.763903e+03
26,30,80,3.763903e+03
26,30,90,3.763903e+03
26,30,100,3.763903e+03
26,30,1,3.445460e+03
26,30,2,3.434907e+03
26,30,3,3.434907e+03
26,30,5,3.248189e+03
26,30,10,3.225247e+03
26,30,20,3.225247e+03
26,30,30,3.225247e+03
26,30,40,3.220589e+03
26,30,50,3.219803e+03
26,30,60,3.205542e+03
26,30,70,3.205542e+03
26,30,80,3.205542e+03
26,30,90,3.205542e+03
26,30,100,3.195742e+03
