funcid,dim,milestone,error
20,30,1,1.158629e+03
20,30,2,1.153138e+03
20,30,3,1.149176e+03
20,30,5,9.656870e+02
20,30,10,9.177763e+02
20,30,20,9.164611e+02
20,30,30,9.025097e+02
20,30,40,9.022752e+02
20,30,50,9.022752e+02
20,30,60,9.022752e+02
20,30,70,9.019903e+02
20,30,80,9.019903e+02
20,30,90,9.017543e+02
20,30,100,8.995566e+02
20,30,1,7.034887e+02
20,30,2,6.867518e+02
20,30,3,6.863790e+02
20,30,5,6.799958e+02
20,30,10,6.687013e+02
20,30,20,6.687013e+02
20,30,30,6.504364e+02
20,30,40,6.504364e+02
20,30,50,6.504364e+02
20,30,60,6.504364e+02
20,30,70,6.504364e+02
20,30,80,6.504364e+02
20,30,90,6.504364e+02
20,30,100,6.504364e+02
20,30,1,8.348489e+02
20,30,2,6.727759e+02
20,30,3,6.727759e+02
20,30,5,6.727759e+02
20,30,10,6.461859e+02
20,30,20,6.447515e+02
20,30,30,6.401023e+02
20,30,40,6.353435e+02
20,30,50,6.353435e+02
20,30,60,6.350063e+02
20,30,70,6.350063e+02
20,30,80,6.350063e+02
20,30,90,6.350063e+02
20,30,100,6.347159e+02
20,30,1,7.252985e+02
20,30,2,6.682162e+02
20,30,3,6.675504e+02
20,30,5,6.668775e+02
20,30,10,6.668199e+02
20,30,20,6.668199e+02
20,30,30,6.668199e+02
20,30,40,6.668199e+02
20,30,50,6.668199e+02
20,30,60,6.661876e+02
20,30,70,6.432568e+02
20,30,80,6.430821e+02
20,30,90,6.378873e+02
20,30,100,6.344643e+02
20,30,1,6.302037e+02
20,30,2,5.847356e+02
20,30,3,5.847356e+02
20,30,5,5.847356e+02
20,30,10,5.540417e+02
20,30,20,5.337151e+02
20,30,30,5.267050e+02
20,30,40,5.264305e+02
20,30,50,5.264305e+02
20,30,60,5.264305e+02
20,30,70,5.264305e+02
20,30,80,5.264305e+02
20,30,90,5.201222e+02
20,30,100,5.201222e+02
20,30,1,7.112133e+02
20,30,2,6.451141e+02
20,30,3,6.383036e+02
20,30,5,6.342050e+02
20,30,10,6.218231e+02
20,30,20,6.164179e+02
20,30,30,6.164179e+02
20,30,40,6.164179e+02
20,30,50,6.164179e+02
20,30,60,6.164179e+02
20,30,70,6.164179e+02
20,30,80,6.164179e+02
20,30,90,6.164179e+02
20,30,100,6.164179e+02
20,30,1,1.033003e+03
20,30,2,1.018584e+03
20,30,3,1.014493e+03
20,30,5,1.008562e+03
20,30,10,1.008562e+03
20,30,20,1.008562e+03
20,30,30,1.008562e+03
20,30,40,7.308446e+02
20,30,50,7.240936e+02
20,30,60,7.240936e+02
20,30,70,7.169397e+02
20,30,80,7.169397e+02
20,30,90,7.168480e+02
20,30,100,7.168480e+02
20,30,1,6.897321e+02
20,30,2,6.480486e+02
20,30,3,6.284633e+02
20,30,5,6.283503e+02
20,30,10,6.283334e+02
20,30,20,6.279873e+02
20,30,30,6.279873e+02
20,30,40,6.278827e+02
20,30,50,6.221778e+02
20,30,60,6.221778e+02
20,30,70,6.221778e+02
20,30,80,6.221778e+02
20,30,90,6.221778e+02
20,30,100,6.221778e+02
20,30,1,1.215195e+03
20,30,2,1.197215e+03
20,30,3,1.188709e+03
20,30,5,1.174631e+03
20,30,10,7.204740e+02
20,30,20,6.624301e+02
20,30,30,6.620803e+02
20,30,40,6.617213e+02
20,30,50,6.617213e+02
20,30,60,6.617213e+02
20,30,70,6.617213e+02
20,30,80,6.617213e+02
20,30,90,6.617213e+02
20,30,100,6.617213e+02
20,30,1,1.241401e+03
20,30,2,1.228985e+03
20,30,3,1.215056e+03
20,30,5,1.213258e+03
20,30,10,9.603489e+02
20,30,20,9.370081e+02
20,30,30,8.392570e+02
20,30,40,8.174629e+02
20,30,50,8.174629e+02
20,30,60,8.173594e+02
20,30,70,8.173594e+02
20,30,80,8.127181e+02
20,30,90,8.126058e+02
20,30,100,8.126058e+02
