funcid,dim,milestone,error
11,30,1,1.585259e+04
11,30,2,1.528189e+04
11,30,3,1.104231e+04
11,30,5,1.104065e+04
11,30,10,1.096074e+04
11,30,20,2.014486e+03
11,30,30,8.492592e+02
11,30,40,7.992928e+02
11,30,50,7.992928e+02
11,30,60,7.992928e+02
11,30,70,7.985730e+02
11,30,80,7.975697e+02
11,30,90,7.975697e+02
11,30,100,7.975697e+02
11,30,1,3.670541e+03
11,30,2,3.042234e+03
11,30,3,1.861460e+03
11,30,5,1.724681e+03
11,30,10,1.679477e+03
11,30,20,1.679477e+03
11,30,30,1.679477e+03
11,30,40,1.677199e+03
11,30,50,1.675845e+03
11,30,60,1.674777e+03
11,30,70,1.671287e+03
11,30,80,1.671287e+03
11,30,90,1.671287e+03
11,30,100,1.671287e+03
11,30,1,6.159150e+03
11,30,2,6.053062e+03
11,30,3,5.897764e+03
11,30,5,5.870470e+03
11,30,10,3.692311e+03
11,30,20,2.397006e+03
11,30,30,2.395160e+03
11,30,40,2.383994e+03
11,30,50,2.379202e+03
11,30,60,2.353470e+03
11,30,70,2.346678e+03
11,30,80,2.346103e+03
11,30,90,2.342952e+03
11,30,100,2.342952e+03
11,30,1,1.435205e+03
11,30,2,1.144585e+03
11,30,3,1.144585e+03
11,30,5,9.193308e+02
11,30,10,9.193308e+02
11,30,20,7.796231e+02
11,30,30,7.796231e+02
11,30,40,7.796231e+02
11,30,50,7.796231e+02
11,30,60,7.796231e+02
11,30,70,7.796231e+02
11,30,80,7.796231e+02
11,30,90,7.796231e+02
11,30,100,7.796231e+02
11,30,1,1.122346e+04
11,30,2,1.109505e+04
11,30,3,1.108086e+04
11,30,5,6.650122e+03
11,30,10,2.583957e+03
11,30,20,2.572110e+03
11,30,30,2.572110e+03
11,30,40,2.572110e+03
11,30,50,2.572110e+03
11,30,60,2.572110e+03
11,30,70,2.572110e+03
11,30,80,2.572110e+03
11,30,90,2.572110e+03
11,30,100,2.572110e+03
11,30,1,2.378319e+04
11,30,2,2.361490e+04
11,30,3,2.356612e+04
11,30,5,2.350019e+04
11,30,10,1.069147e+04
11,30,20,4.184100e+03
11,30,30,3.594455e+03
11,30,40,3.580289e+03
11,30,50,3.580289e+03
11,30,60,3.576874e+03
11,30,70,3.576874e+03
11,30,80,3.576874e+03
11,30,90,3.576874e+03
11,30,100,3.566977e+03
11,30,1,1.464388e+04
11,30,2,1.456829e+04
11,30,3,1.455625e+04
11,30,5,1.453299e+04
11,30,10,1.385558e+04
11,30,20,4.893929e+03
11,30,30,3.948351e+03
11,30,40,3.905558e+03
11,30,50,3.864055e+03
11,30,60,3.857901e+03
11,30,70,3.857901e+03
11,30,80,3.836280e+03
11,30,90,3.836280e+03
11,30,100,3.831790e+03
11,30,1,5.327722e+03
11,30,2,5.236326e+03
11,30,3,5.236326e+03
11,30,5,5.234061e+03
11,30,10,5.178040e+03
11,30,20,5.173365e+03
11,30,30,5.173365e+03
11,30,40,5.167901e+03
11,30,50,5.167901e+03
11,30,60,5.167901e+03
11,30,70,5.167901e+03
11,30,80,5.167901e+03
11,30,90,5.167901e+03
11,30,100,5.167901e+03
11,30,1,3.510826e+03
11,30,2,2.392449e+03
11,30,3,2.357311e+03
11,30,5,2.349688e+03
11,30,10,2.347630e+03
11,30,20,5.190882e+02
11,30,30,4.602740e+02
11,30,40,4.565288e+02
11,30,50,4.419341e+02
11,30,60,4.415877e+02
11,30,70,4.400636e+02
11,30,80,4.400636e+02
11,30,90,4.400636e+02
11,30,100,4.400636e+02
11,30,1,4.575659e+03
11,30,2,4.213600e+03
11,30,3,4.188296e+03
11,30,5,4.062293e+03
11,30,10,3.769884e+03
11,30,20,3.760033e+03
11,30,30,3.756869e+03
11,30,40,3.754480e+03
11,30,50,3.754480e+03
11,30,60,3.752664e+03
11,30,70,3.752664e+03
11,30,80,3.749294e+03
11,30,90,3.743667e+03
11,30,100,3.743667e+03
