funcid,dim,milestone,error
9,30,1,1.202375e+04
9,30,2,9.606610e+03
9,30,3,8.759706e+03
9,30,5,5.040510e+03
9,30,10,2.883912e+03
9,30,20,1.828396e+03
9,30,30,1.828396e+03
9,30,40,1.828396e+03
9,30,50,1.739812e+03
9,30,60,1.739812e+03
9,30,70,1.739812e+03
9,30,80,1.739812e+03
9,30,90,1.739812e+03
9,30,100,1.739812e+03
9,30,1,5.455372e+03
9,30,2,5.455372e+03
9,30,3,4.164430e+03
9,30,5,2.640487e+03
9,30,10,2.262206e+03
9,30,20,2.178283e+03
9,30,30,2.178283e+03
9,30,40,2.178283e+03
9,30,50,1.862479e+03
9,30,60,1.862479e+03
9,30,70,1.862479e+03
9,30,80,1.862479e+03
9,30,90,1.862479e+03
9,30,100,1.862479e+03
9,30,1,4.993228e+03
9,30,2,4.648559e+03
9,30,3,4.532632e+03
9,30,5,2.811765e+03
9,30,10,1.671043e+03
9,30,20,1.584568e+03
9,30,30,1.489121e+03
9,30,40,1.452453e+03
9,30,50,1.449608e+03
9,30,60,1.335170e+03
9,30,70,1.335170e+03
9,30,80,1.108132e+03
9,30,90,1.071962e+03
9,30,100,1.071962e+03
9,30,1,8.412426e+03
9,30,2,7.270442e+03
9,30,3,5.409112e+03
9,30,5,2.124080e+03
9,30,10,2.112366e+03
9,30,20,2.112366e+03
9,30,30,2.112234e+03
9,30,40,2.112234e+03
9,30,50,2.112234e+03
9,30,60,2.100519e+03
9,30,70,1.924379e+03
9,30,80,1.924379e+03
9,30,90,1.924379e+03
9,30,100,1.924379e+03
9,30,1,7.194474e+03
9,30,2,6.481175e+03
9,30,3,6.281312e+03
9,30,5,6.112905e+03
9,30,10,4.362810e+03
9,30,20,3.420390e+03
9,30,30,2.646393e+03
9,30,40,2.221750e+03
9,30,50,2.007549e+03
9,30,60,2.007549e+03
9,30,70,2.007549e+03
9,30,80,2.007549e+03
9,30,90,2.007549e+03
9,30,100,1.918216e+03
9,30,1,1.337739e+04
9,30,2,9.858349e+03
9,30,3,8.521551e+03
9,30,5,8.502503e+03
9,30,10,7.526139e+03
9,30,20,7.526139e+03
9,30,30,4.683690e+03
9,30,40,4.683690e+03
9,30,50,4.683690e+03
9,30,60,4.683690e+03
9,30,70,4.666411e+03
9,30,80,4.657860e+03
9,30,90,4.657860e+03
9,30,100,4.600297e+03
9,30,1,7.342754e+03
9,30,2,4.455459e+03
9,30,3,4.451118e+03
9,30,5,4.050971e+03
9,30,10,3.231293e+03
9,30,20,2.280178e+03
9,30,30,2.246770e+03
9,30,40,1.729147e+03
9,30,50,1.548129e+03
9,30,60,1.491379e+03
9,30,70,1.476582e+03
9,30,80,1.476582e+03
9,30,90,1.417589e+03
9,30,100,1.365125e+03
9,30,1,7.894150e+03
9,30,2,6.327212e+03
9,30,3,6.226851e+03
9,30,5,6.037015e+03
9,30,10,4.442034e+03
9,30,20,3.755505e+03
9,30,30,3.042731e+03
9,30,40,2.169907e+03
9,30,50,2.149727e+03
9,30,60,2.097063e+03
9,30,70,1.494930e+03
9,30,80,1.406432e+03
9,30,90,1.366924e+03
9,30,100,1.366924e+03
9,30,1,9.105356e+03
9,30,2,7.573297e+03
9,30,3,5.822001e+03
9,30,5,4.587046e+03
9,30,10,9.506328e+02
9,30,20,9.506328e+02
9,30,30,9.506328e+02
9,30,40,9.506328e+02
9,30,50,9.506328e+02
9,30,60,9.506328e+02
9,30,70,9.506328e+02
9,30,80,9.506328e+02
9,30,90,9.506328e+02
9,30,100,9.506328e+02
9,30,1,1.922767e+04
9,30,2,1.654661e+04
9,30,3,1.371911e+04
9,30,5,1.065534e+04
9,30,10,7.410903e+03
9,30,20,7.122369e+03
9,30,30,6.199319e+03
9,30,40,4.594806e+03
9,30,50,3.921004e+03
9,30,60,3.871941e+03
9,30,70,2.849293e+03
9,30,80,2.783767e+03
9,30,90,2.688191e+03
9,30,100,2.654387e+03
