funcid,dim,milestone,error
15,30,1,2.345918e+08
15,30,2,2.345916e+08
15,30,3,2.345916e+08
15,30,5,2.345916e+08
15,30,10,2.345916e+08
15,30,20,2.345916e+08
15,30,30,2.345916e+08
15,30,40,2.345916e+08
15,30,50,2.345916e+08
15,30,60,2.345916e+08
15,30,70,2.345916e+08
15,30,80,2.345916e+08
15,30,90,2.345915e+08
15,30,100,2.345915e+08
15,30,1,2.121593e+08
15,30,2,3.444796e+07
15,30,3,3.444794e+07
15,30,5,3.444787e+07
15,30,10,3.444785e+07
15,30,20,3.444782e+07
15,30,30,3.444781e+07
15,30,40,3.444781e+07
15,30,50,3.444781e+07
15,30,60,3.444781e+07
15,30,70,3.444781e+07
15,30,80,3.444781e+07
15,30,90,3.444781e+07
15,30,100,3.444781e+07
15,30,1,4.587669e+07
15,30,2,4.587664e+07
15,30,3,4.587661e+07
15,30,5,4.587659e+07
15,30,10,4.587659e+07
15,30,20,4.587657e+07
15,30,30,4.587656e+07
15,30,40,4.587655e+07
15,30,50,4.587655e+07
15,30,60,4.587655e+07
15,30,70,4.587655e+07
15,30,80,4.587655e+07
15,30,90,4.587655e+07
15,30,100,4.587655e+07
15,30,1,7.018024e+07
15,30,2,4.244836e+07
15,30,3,4.244833e+07
15,30,5,4.244832e+07
15,30,10,4.244825e+07
15,30,20,4.244824e+07
15,30,30,4.244824e+07
15,30,40,4.244824e+07
15,30,50,4.244824e+07
15,30,60,4.244823e+07
15,30,70,4.244823e+07
15,30,80,4.244822e+07
15,30,90,4.244822e+07
15,30,100,4.244822e+07
15,30,1,5.363043e+08
15,30,2,5.353697e+08
15,30,3,5.353696e+08
15,30,5,5.353696e+08
15,30,10,5.353696e+08
15,30,20,5.353696e+08
15,30,30,5.353696e+08
15,30,40,5.353696e+08
15,30,50,5.353696e+08
15,30,60,5.353696e+08
15,30,70,5.353696e+08
15,30,80,5.353696e+08
15,30,90,5.353696e+08
15,30,100,5.353696e+08
15,30,1,5.124388e+07
15,30,2,5.124378e+07
15,30,3,5.124378e+07
15,30,5,5.124378e+07
15,30,10,5.124378e+07
15,30,20,5.124375e+07
15,30,30,5.124375e+07
15,30,40,5.124373e+07
15,30,50,5.124372e+07
15,30,60,5.124372e+07
15,30,70,5.124372e+07
15,30,80,5.124372e+07
15,30,90,5.124371e+07
15,30,100,5.124371e+07
15,30,1,1.252991e+08
15,30,2,1.140011e+08
15,30,3,1.140011e+08
15,30,5,1.140010e+08
15,30,10,1.140010e+08
15,30,20,1.140010e+08
15,30,30,1.140010e+08
15,30,40,1.140010e+08
15,30,50,1.140010e+08
15,30,60,1.140010e+08
15,30,70,1.140010e+08
15,30,80,1.140010e+08
15,30,90,1.140010e+08
15,30,100,1.140010e+08
15,30,1,5.408671e+07
15,30,2,5.408654e+07
15,30,3,5.408653e+07
15,30,5,5.408650e+07
15,30,10,5.408649e+07
15,30,20,5.408649e+07
15,30,30,5.408649e+07
15,30,40,5.408648e+07
15,30,50,5.408648e+07
15,30,60,5.408647e+07
15,30,70,5.408647e+07
15,30,80,5.408647e+07
15,30,90,5.408647e+07
15,30,100,5.408647e+07
15,30,1,6.181273e+07
15,30,2,6.181262e+07
15,30,3,6.181262e+07
15,30,5,6.181261e+07
15,30,10,6.181258e+07
15,30,20,6.181258e+07
15,30,30,6.181258e+07
15,30,40,6.181258e+07
15,30,50,6.181258e+07
15,30,60,6.181258e+07
15,30,70,6.181258e+07
15,30,80,6.181258e+07
15,30,90,6.181258e+07
15,30,100,6.181258e+07
15,30,1,5.980505e+08
15,30,2,5.790679e+08
15,30,3,5.790678e+08
15,30,5,5.790678e+08
15,30,10,5.790678e+08
15,30,20,5.790677e+08
15,30,30,5.790677e+08
15,30,40,5.790677e+08
15,30,50,5.790677e+08
15,30,60,5.790677e+08
15,30,70,5.790677e+08
15,30,80,5.790677e+08
15,30,90,5.790677e+08
15,30,100,5.790677e+08
