funcid,dim,milestone,error
7,30,1,6.581409e+02
7,30,2,6.581409e+02
7,30,3,5.742867e+02
7,30,5,4.757992e+02
7,30,10,4.439491e+02
7,30,20,4.009458e+02
7,30,30,4.009458e+02
7,30,40,3.839533e+02
7,30,50,3.580581e+02
7,30,60,3.441464e+02
7,30,70,3.441464e+02
7,30,80,3.157420e+02
7,30,90,3.157420e+02
7,30,100,3.061129e+02
7,30,1,7.324637e+02
7,30,2,5.626285e+02
7,30,3,5.500910e+02
7,30,5,5.219656e+02
7,30,10,4.846153e+02
7,30,20,4.576930e+02
7,30,30,4.272457e+02
7,30,40,4.240999e+02
7,30,50,3.919009e+02
7,30,60,3.919009e+02
7,30,70,3.828915e+02
7,30,80,3.570704e+02
7,30,90,3.570704e+02
7,30,100,3.570704e+02
7,30,1,6.103156e+02
7,30,2,4.831952e+02
7,30,3,4.384474e+02
7,30,5,3.661666e+02
7,30,10,3.661666e+02
7,30,20,3.584021e+02
7,30,30,3.584021e+02
7,30,40,3.583660e+02
7,30,50,3.248642e+02
7,30,60,3.246906e+02
7,30,70,3.246906e+02
7,30,80,3.246906e+02
7,30,90,3.246906e+02
7,30,100,3.246906e+02
7,30,1,6.856083e+02
7,30,2,6.456209e+02
7,30,3,6.456209e+02
7,30,5,6.456209e+02
7,30,10,5.685778e+02
7,30,20,5.203610e+02
7,30,30,4.920769e+02
7,30,40,4.509825e+02
7,30,50,4.443980e+02
7,30,60,4.443980e+02
7,30,70,4.165792e+02
7,30,80,4.165792e+02
7,30,90,4.027821e+02
7,30,100,4.027821e+02
7,30,1,5.417712e+02
7,30,2,5.154682e+02
7,30,3,4.747401e+02
7,30,5,4.382414e+02
7,30,10,4.128630e+02
7,30,20,4.048354e+02
7,30,30,4.041780e+02
7,30,40,3.887070e+02
7,30,50,3.670583e+02
7,30,60,3.670583e+02
7,30,70,3.670583e+02
7,30,80,3.670583e+02
7,30,90,3.661597e+02
7,30,100,3.643753e+02
7,30,1,7.837395e+02
7,30,2,7.074899e+02
7,30,3,6.909408e+02
7,30,5,6.671057e+02
7,30,10,6.671057e+02
7,30,20,6.076848e+02
7,30,30,5.928648e+02
7,30,40,5.847870e+02
7,30,50,4.734070e+02
7,30,60,4.734070e+02
7,30,70,4.734070e+02
7,30,80,4.657357e+02
7,30,90,4.657357e+02
7,30,100,4.636644e+02
7,30,1,6.610707e+02
7,30,2,5.829370e+02
7,30,3,5.253690e+02
7,30,5,4.882008e+02
7,30,10,4.639874e+02
7,30,20,3.788339e+02
7,30,30,3.726299e+02
7,30,40,3.462846e+02
7,30,50,3.383421e+02
7,30,60,3.383421e+02
7,30,70,3.383421e+02
7,30,80,3.383421e+02
7,30,90,3.383421e+02
7,30,100,3.383421e+02
7,30,1,6.827148e+02
7,30,2,5.112673e+02
7,30,3,4.547890e+02
7,30,5,4.507808e+02
7,30,10,4.001052e+02
7,30,20,3.578559e+02
7,30,30,3.530991e+02
7,30,40,3.275715e+02
7,30,50,3.269178e+02
7,30,60,3.226039e+02
7,30,70,3.175797e+02
7,30,80,3.175797e+02
7,30,90,3.175797e+02
7,30,100,3.175797e+02
7,30,1,6.088135e+02
7,30,2,5.323612e+02
7,30,3,4.834417e+02
7,30,5,4.347766e+02
7,30,10,3.897946e+02
7,30,20,3.816915e+02
7,30,30,3.816915e+02
7,30,40,3.604522e+02
7,30,50,3.604522e+02
7,30,60,3.604522e+02
7,30,70,3.604522e+02
7,30,80,3.604522e+02
7,30,90,3.604522e+02
7,30,100,3.604522e+02
7,30,1,9.086581e+02
7,30,2,7.881567e+02
7,30,3,6.398431e+02
7,30,5,6.398431e+02
7,30,10,5.624691e+02
7,30,20,5.373549e+02
7,30,30,5.045847e+02
7,30,40,4.910842e+02
7,30,50,4.795584e+02
7,30,60,4.784088e+02
7,30,70,4.503425e+02
7,30,80,4.280835e+02
7,30,90,4.202764e+02
7,30,100,4.202764e+02
