funcid,dim,milestone,error
5,30,1,2.052860e+02
5,30,2,1.688949e+02
5,30,3,1.688949e+02
5,30,5,1.688949e+02
5,30,10,1.624661e+02
5,30,20,1.624661e+02
5,30,30,1.484597e+02
5,30,40,1.421848e+02
5,30,50,1.421848e+02
5,30,60,1.421848e+02
5,30,70,1.421848e+02
5,30,80,1.339547e+02
5,30,90,1.339547e+02
5,30,100,1.339547e+02
5,30,1,2.698652e+02
5,30,2,2.533213e+02
5,30,3,2.533213e+02
5,30,5,2.449177e+02
5,30,10,1.925723e+02
5,30,20,1.880661e+02
5,30,30,1.642899e+02
5,30,40,1.642899e+02
5,30,50,1.528562e+02
5,30,60,1.463270e+02
5,30,70,1.355516e+02
5,30,80,1.355516e+02
5,30,90,1.355516e+02
5,30,100,1.336710e+02
5,30,1,2.749146e+02
5,30,2,2.498163e+02
5,30,3,2.497700e+02
5,30,5,2.497700e+02
5,30,10,1.999181e+02
5,30,20,1.890993e+02
5,30,30,1.749559e+02
5,30,40,1.749559e+02
5,30,50,1.749559e+02
5,30,60,1.749559e+02
5,30,70,1.749559e+02
5,30,80,1.700192e+02
5,30,90,1.700192e+02
5,30,100,1.607353e+02
5,30,1,2.900294e+02
5,30,2,2.413271e+02
5,30,3,2.374749e+02
5,30,5,2.372464e+02
5,30,10,1.971700e+02
5,30,20,1.868148e+02
5,30,30,1.637769e+02
5,30,40,1.637769e+02
5,30,50,1.637769e+02
5,30,60,1.637769e+02
5,30,70,1.637769e+02
5,30,80,1.637769e+02
5,30,90,1.637769e+02
5,30,100,1.637769e+02
5,30,1,2.572859e+02
5,30,2,2.393600e+02
5,30,3,2.199581e+02
5,30,5,2.148335e+02
5,30,10,2.148335e+02
5,30,20,1.793502e+02
5,30,30,1.648703e+02
5,30,40,1.609753e+02
5,30,50,1.548833e+02
5,30,60,1.548833e+02
5,30,70,1.421549e+02
5,30,80,1.421549e+02
5,30,90,1.421549e+02
5,30,100,1.421549e+02
5,30,1,2.835891e+02
5,30,2,2.346222e+02
5,30,3,2.346222e+02
5,30,5,2.305122e+02
5,30,10,1.977184e+02
5,30,20,1.852140e+02
5,30,30,1.612612e+02
5,30,40,1.574063e+02
5,30,50,1.520380e+02
5,30,60,1.520380e+02
5,30,70,1.498862e+02
5,30,80,1.432104e+02
5,30,90,1.432104e+02
5,30,100,1.432104e+02
5,30,1,2.567146e+02
5,30,2,2.533169e+02
5,30,3,2.399961e+02
5,30,5,2.299627e+02
5,30,10,2.168509e+02
5,30,20,1.976928e+02
5,30,30,1.976928e+02
5,30,40,1.976928e+02
5,30,50,1.976928e+02
5,30,60,1.965837e+02
5,30,70,1.816979e+02
5,30,80,1.816979e+02
5,30,90,1.816979e+02
5,30,100,1.816979e+02
5,30,1,2.336338e+02
5,30,2,2.196696e+02
5,30,3,2.038634e+02
5,30,5,1.940959e+02
5,30,10,1.723004e+02
5,30,20,1.711507e+02
5,30,30,1.569532e+02
5,30,40,1.524397e+02
5,30,50,1.524397e+02
5,30,60,1.524397e+02
5,30,70,1.524397e+02
5,30,80,1.513561e+02
5,30,90,1.513561e+02
5,30,100,1.513561e+02
5,30,1,2.335442e+02
5,30,2,2.309098e+02
5,30,3,2.309098e+02
5,30,5,2.129260e+02
5,30,10,1.806669e+02
5,30,20,1.468463e+02
5,30,30,1.468463e+02
5,30,40,1.468463e+02
5,30,50,1.468463e+02
5,30,60,1.468463e+02
5,30,70,1.468463e+02
5,30,80,1.468463e+02
5,30,90,1.468463e+02
5,30,100,1.468463e+02
5,30,1,3.201628e+02
5,30,2,3.201628e+02
5,30,3,2.820028e+02
5,30,5,2.051276e+02
5,30,10,1.936735e+02
5,30,20,1.564435e+02
5,30,30,1.365876e+02
5,30,40,1.365876e+02
5,30,50,1.365876e+02
5,30,60,1.365876e+02
5,30,70,1.365876e+02
5,30,80,1.356115e+02
5,30,90,1.333086e+02
5,30,100,1.333086e+02
