funcid,dim,milestone,error
13,30,1,7.452014e+08
13,30,2,6.795532e+08
13,30,3,6.795527e+08
13,30,5,6.795525e+08
13,30,10,6.795525e+08
13,30,20,6.795523e+08
13,30,30,6.795523e+08
13,30,40,6.795523e+08
13,30,50,6.795523e+08
13,30,60,6.795523e+08
13,30,70,6.795523e+08
13,30,80,6.795523e+08
13,30,90,6.795523e+08
13,30,100,6.795522e+08
13,30,1,3.270908e+08
13,30,2,3.270897e+08
13,30,3,3.270894e+08
13,30,5,3.270893e+08
13,30,10,3.270892e+08
13,30,20,3.270892e+08
13,30,30,3.270892e+08
13,30,40,3.270892e+08
13,30,50,3.270891e+08
13,30,60,3.270891e+08
13,30,70,3.270891e+08
13,30,80,3.270891e+08
13,30,90,3.270891e+08
13,30,100,3.270891e+08
13,30,1,6.748027e+08
13,30,2,1.626691e+08
13,30,3,1.626688e+08
13,30,5,1.626687e+08
13,30,10,1.626687e+08
13,30,20,1.626687e+08
13,30,30,1.626687e+08
13,30,40,1.626687e+08
13,30,50,1.626687e+08
13,30,60,1.626686e+08
13,30,70,1.626686e+08
13,30,80,1.626686e+08
13,30,90,1.626686e+08
13,30,100,1.626686e+08
13,30,1,8.893282e+07
13,30,2,6.170086e+07
13,30,3,6.170030e+07
13,30,5,6.170029e+07
13,30,10,6.170021e+07
13,30,20,6.170017e+07
13,30,30,6.170017e+07
13,30,40,6.170015e+07
13,30,50,6.170015e+07
13,30,60,6.170015e+07
13,30,70,6.170015e+07
13,30,80,6.170011e+07
13,30,90,6.170011e+07
13,30,100,6.170011e+07
13,30,1,3.764787e+08
13,30,2,3.725532e+08
13,30,3,3.725532e+08
13,30,5,3.725530e+08
13,30,10,3.725529e+08
13,30,20,3.725528e+08
13,30,30,3.725528e+08
13,30,40,3.725528e+08
13,30,50,3.725528e+08
13,30,60,3.725528e+08
13,30,70,3.725528e+08
13,30,80,3.725528e+08
13,30,90,3.725528e+08
13,30,100,3.725528e+08
13,30,1,4.899798e+08
13,30,2,4.899788e+08
13,30,3,1.658879e+08
13,30,5,1.658875e+08
13,30,10,1.658874e+08
13,30,20,1.658873e+08
13,30,30,1.658873e+08
13,30,40,1.658873e+08
13,30,50,1.658873e+08
13,30,60,1.658873e+08
13,30,70,1.658872e+08
13,30,80,1.658872e+08
13,30,90,1.658872e+08
13,30,100,1.658872e+08
13,30,1,4.973030e+08
13,30,2,4.695637e+08
13,30,3,4.671983e+08
13,30,5,4.671979e+08
13,30,10,4.533353e+08
13,30,20,4.533353e+08
13,30,30,4.533353e+08
13,30,40,4.533352e+08
13,30,50,4.533352e+08
13,30,60,4.533351e+08
13,30,70,4.533351e+08
13,30,80,4.533350e+08
13,30,90,4.533350e+08
13,30,100,4.533350e+08
13,30,1,6.549662e+08
13,30,2,3.404725e+08
13,30,3,3.404713e+08
13,30,5,3.404711e+08
13,30,10,3.404711e+08
13,30,20,3.404711e+08
13,30,30,3.404711e+08
13,30,40,3.404711e+08
13,30,50,3.404711e+08
13,30,60,3.404711e+08
13,30,70,3.404711e+08
13,30,80,3.404710e+08
13,30,90,3.404710e+08
13,30,100,3.404710e+08
13,30,1,2.729493e+08
13,30,2,2.729488e+08
13,30,3,2.729488e+08
13,30,5,2.729486e+08
13,30,10,2.729486e+08
13,30,20,2.729486e+08
13,30,30,2.729486e+08
13,30,40,2.729486e+08
13,30,50,2.729485e+08
13,30,60,2.729485e+08
13,30,70,2.729485e+08
13,30,80,2.729485e+08
13,30,90,2.729485e+08
13,30,100,2.729485e+08
13,30,1,3.949816e+08
13,30,2,3.949808e+08
13,30,3,3.948567e+08
13,30,5,3.948566e+08
13,30,10,3.948565e+08
13,30,20,3.948565e+08
13,30,30,3.948564e+08
13,30,40,3.948564e+08
13,30,50,3.948564e+08
13,30,60,3.948564e+08
13,30,70,3.948564e+08
13,30,80,3.948564e+08
13,30,90,3.948564e+08
13,30,100,3.948564e+08
