funcid,dim,milestone,error
8,30,1,2.747743e+02
8,30,2,2.192771e+02
8,30,3,2.187327e+02
8,30,5,2.187327e+02
8,30,10,2.187327e+02
8,30,20,1.958406e+02
8,30,30,1.958406e+02
8,30,40,1.958406e+02
8,30,50,1.958406e+02
8,30,60,1.958406e+02
8,30,70,1.953964e+02
8,30,80,1.910232e+02
8,30,90,1.896580e+02
8,30,100,1.896580e+02
8,30,1,2.941905e+02
8,30,2,2.567850e+02
8,30,3,2.505135e+02
8,30,5,2.505135e+02
8,30,10,2.397979e+02
8,30,20,1.646320e+02
8,30,30,1.480013e+02
8,30,40,1.372169e+02
8,30,50,1.372169e+02
8,30,60,1.372169e+02
8,30,70,1.354050e+02
8,30,80,1.354050e+02
8,30,90,1.354050e+02
8,30,100,1.354050e+02
8,30,1,2.627656e+02
8,30,2,2.413868e+02
8,30,3,2.103696e+02
8,30,5,1.941506e+02
8,30,10,1.756770e+02
8,30,20,1.738122e+02
8,30,30,1.655478e+02
8,30,40,1.506871e+02
8,30,50,1.406111e+02
8,30,60,1.388421e+02
8,30,70,1.387412e+02
8,30,80,1.387412e+02
8,30,90,1.387412e+02
8,30,100,1.387412e+02
8,30,1,3.178771e+02
8,30,2,3.056740e+02
8,30,3,2.759377e+02
8,30,5,2.378883e+02
8,30,10,2.191336e+02
8,30,20,1.949561e+02
8,30,30,1.949561e+02
8,30,40,1.949561e+02
8,30,50,1.949561e+02
8,30,60,1.949561e+02
8,30,70,1.949561e+02
8,30,80,1.949561e+02
8,30,90,1.949561e+02
8,30,100,1.949561e+02
8,30,1,2.211433e+02
8,30,2,2.166227e+02
8,30,3,1.852423e+02
8,30,5,1.832098e+02
8,30,10,1.812553e+02
8,30,20,1.685441e+02
8,30,30,1.582785e+02
8,30,40,1.543167e+02
8,30,50,1.502605e+02
8,30,60,1.502605e+02
8,30,70,1.502605e+02
8,30,80,1.502605e+02
8,30,90,1.398465e+02
8,30,100,1.398465e+02
8,30,1,2.562876e+02
8,30,2,2.562876e+02
8,30,3,2.244640e+02
8,30,5,2.213575e+02
8,30,10,1.896838e+02
8,30,20,1.825305e+02
8,30,30,1.825305e+02
8,30,40,1.759737e+02
8,30,50,1.759737e+02
8,30,60,1.759737e+02
8,30,70,1.759737e+02
8,30,80,1.759737e+02
8,30,90,1.759737e+02
8,30,100,1.759737e+02
8,30,1,2.552274e+02
8,30,2,2.021727e+02
8,30,3,1.952313e+02
8,30,5,1.952313e+02
8,30,10,1.817490e+02
8,30,20,1.667148e+02
8,30,30,1.667148e+02
8,30,40,1.667148e+02
8,30,50,1.667148e+02
8,30,60,1.666294e+02
8,30,70,1.464903e+02
8,30,80,1.368771e+02
8,30,90,1.351988e+02
8,30,100,1.351988e+02
8,30,1,2.606372e+02
8,30,2,2.460934e+02
8,30,3,2.460934e+02
8,30,5,1.986295e+02
8,30,10,1.708462e+02
8,30,20,1.567530e+02
8,30,30,1.490561e+02
8,30,40,1.414912e+02
8,30,50,1.353803e+02
8,30,60,1.353803e+02
8,30,70,1.353803e+02
8,30,80,1.353803e+02
8,30,90,1.353803e+02
8,30,100,1.353803e+02
8,30,1,2.819789e+02
8,30,2,2.483285e+02
8,30,3,2.047220e+02
8,30,5,1.745067e+02
8,30,10,1.687598e+02
8,30,20,1.483491e+02
8,30,30,1.483491e+02
8,30,40,1.467316e+02
8,30,50,1.467316e+02
8,30,60,1.467316e+02
8,30,70,1.467316e+02
8,30,80,1.387095e+02
8,30,90,1.387095e+02
8,30,100,1.387095e+02
8,30,1,2.600909e+02
8,30,2,2.450168e+02
8,30,3,2.265465e+02
8,30,5,1.872099e+02
8,30,10,1.661809e+02
8,30,20,1.579091e+02
8,30,30,1.523632e+02
8,30,40,1.523632e+02
8,30,50,1.517955e+02
8,30,60,1.515896e+02
8,30,70,1.515896e+02
8,30,80,1.513498e+02
8,30,90,1.497151e+02
8,30,100,1.427829e+02
