funcid,dim,milestone,error
29,30,1,2.051073e+03
29,30,2,1.715499e+03
29,30,3,1.650283e+03
29,30,5,1.601859e+03
29,30,10,1.581686e+03
29,30,20,1.104921e+03
29,30,30,1.104921e+03
29,30,40,1.089497e+03
29,30,50,1.089497e+03
29,30,60,1.062857e+03
29,30,70,1.062857e+03
29,30,80,1.062382e+03
29,30,90,1.062382e+03
29,30,100,1.062382e+03
29,30,1,1.334365e+03
29,30,2,1.261908e+03
29,30,3,1.243270e+03
29,30,5,1.228926e+03
29,30,10,1.191596e+03
29,30,20,1.190848e+03
29,30,30,1.133997e+03
29,30,40,1.133198e+03
29,30,50,9.590178e+02
29,30,60,8.492567e+02
29,30,70,8.372280e+02
29,30,80,8.372280e+02
29,30,90,8.372280e+02
29,30,100,8.372280e+02
29,30,1,1.270396e+03
29,30,2,1.212603e+03
29,30,3,1.212603e+03
29,30,5,1.198864e+03
29,30,10,1.165587e+03
29,30,20,1.158653e+03
29,30,30,1.144958e+03
29,30,40,1.043551e+03
29,30,50,1.035125e+03
29,30,60,9.846008e+02
29,30,70,9.766178e+02
29,30,80,9.765586e+02
29,30,90,9.765483e+02
29,30,100,9.765483e+02
29,30,1,1.184670e+03
29,30,2,1.170165e+03
29,30,3,1.163556e+03
29,30,5,1.163556e+03
29,30,10,1.158467e+03
29,30,20,1.072350e+03
29,30,30,1.063695e+03
29,30,40,9.934648e+02
29,30,50,9.766624e+02
29,30,60,9.733370e+02
29,30,70,9.732587e+02
29,30,80,9.732587e+02
29,30,90,9.732587e+02
29,30,100,9.732587e+02
29,30,1,1.382707e+03
29,30,2,1.040892e+03
29,30,3,1.034532e+03
29,30,5,9.860378e+02
29,30,10,9.631727e+02
29,30,20,9.427118e+02
29,30,30,9.427118e+02
29,30,40,9.427118e+02
29,30,50,9.427118e+02
29,30,60,9.343424e+02
29,30,70,9.343424e+02
29,30,80,9.343424e+02
29,30,90,9.267216e+02
29,30,100,9.267216e+02
29,30,1,1.883527e+03
29,30,2,1.488375e+03
29,30,3,1.377746e+03
29,30,5,1.269644e+03
29,30,10,1.232698e+03
29,30,20,1.194834e+03
29,30,30,1.194834e+03
29,30,40,1.194834e+03
29,30,50,1.194834e+03
29,30,60,1.175882e+03
29,30,70,1.175882e+03
29,30,80,1.113963e+03
29,30,90,9.872729e+02
29,30,100,9.858277e+02
29,30,1,1.674195e+03
29,30,2,1.332322e+03
29,30,3,9.917513e+02
29,30,5,9.109579e+02
29,30,10,8.800765e+02
29,30,20,8.251914e+02
29,30,30,8.196076e+02
29,30,40,8.192550e+02
29,30,50,8.192550e+02
29,30,60,8.051273e+02
29,30,70,7.969618e+02
29,30,80,7.969618e+02
29,30,90,7.969618e+02
29,30,100,7.969618e+02
29,30,1,1.673153e+03
29,30,2,1.581372e+03
29,30,3,1.515720e+03
29,30,5,1.512472e+03
29,30,10,1.512472e+03
29,30,20,1.410900e+03
29,30,30,1.301054e+03
29,30,40,1.301005e+03
29,30,50,1.300753e+03
29,30,60,1.300753e+03
29,30,70,1.300753e+03
29,30,80,1.300753e+03
29,30,90,1.300753e+03
29,30,100,1.300753e+03
29,30,1,1.551162e+03
29,30,2,1.542774e+03
29,30,3,1.542774e+03
29,30,5,1.542774e+03
29,30,10,1.291137e+03
29,30,20,1.234943e+03
29,30,30,1.176495e+03
29,30,40,1.138072e+03
29,30,50,1.096296e+03
29,30,60,1.090336e+03
29,30,70,1.077845e+03
29,30,80,1.077845e+03
29,30,90,1.077845e+03
29,30,100,1.071566e+03
29,30,1,1.738755e+03
29,30,2,1.460669e+03
29,30,3,1.357710e+03
29,30,5,1.117681e+03
29,30,10,1.096290e+03
29,30,20,1.090665e+03
29,30,30,1.065575e+03
29,30,40,1.045607e+03
29,30,50,1.045607e+03
29,30,60,1.043503e+03
29,30,70,1.043503e+03
29,30,80,1.043503e+03
29,30,90,1.040132e+03
29,30,100,1.040132e+03
